Grupo de Edad,Año,VI Victima Hombre,VI Victima Mujer,VI Agresor Hombre,VI Agresor Mujer,VI Urbano,VI Rural
14 o menos,9,27.0,194,10.0,33,134,114.0
15-19,9,119.0,2629,767.0,225,1809,1622.0
20-24,9,368.0,5587,3805.0,580,5450,3936.0
25-29,9,478.0,5712,5380.0,637,6664,4334.0
30-34,9,438.0,4716,4841.0,517,5732,3731.0
35-39,9,335.0,3481,4055.0,380,4346,3087.0
40-44,9,258.0,2214,2767.0,302,2950,2040.0
45-50,9,203.0,1479,1916.0,238,1930,1525.0
Más de 50,9,3744.0,31012,32451.0,4090,37141,26875.0
14 o menos,10,40.0,184,13.0,14,109,120.0
15-19,10,145.0,2834,812.0,215,1864,1796.0
20-24,10,335.0,5639,3951.0,515,5322,4192.0
25-29,10,393.0,5794,5323.0,545,6296,4654.0
30-34,10,400.0,5041,5096.0,518,5898,4160.0
35-39,10,348.0,3478,4061.0,431,4317,3210.0
40-44,10,222.0,2286,2854.0,285,2920,2196.0
45-50,10,217.0,1446,1898.0,239,1973,1469.0
Más de 50,10,3616.0,31616,33324.0,3940,37009,28415.0
14 o menos,11,40.0,183,17.0,22,130,114.0
15-19,11,135.0,2935,959.0,227,2116,1903.0
20-24,11,315.0,5898,4272.0,536,5768,4607.0
25-29,11,400.0,5861,5375.0,522,6659,4692.0
30-34,11,397.0,5202,5418.0,560,6338,4496.0
35-39,11,331.0,3790,4278.0,431,4659,3588.0
40-44,11,261.0,2339,2887.0,342,3180,2310.0
45-50,11,223.0,1545,2020.0,266,2054,1727.0
Más de 50,11,3710.0,33403,34654.0,4182,39784,30915.0
14 o menos,12,30.0,212,12.0,16,112,151.0
15-19,12,134.0,3239,1021.0,205,2208,2195.0
20-24,12,323.0,6502,4712.0,539,6354,5156.0
25-29,12,388.0,6435,5980.0,584,7266,5492.0
30-34,12,396.0,5685,5987.0,586,7035,5003.0
35-39,12,383.0,4019,4621.0,458,5115,3857.0
40-44,12,289.0,2506,3179.0,333,3440,2574.0
45-50,12,223.0,1551,2116.0,247,2243,1700.0
Más de 50,12,3768.0,36131,37336.0,4282,43175,34168.0
14 o menos,13,39.0,241,20.0,14,139,156.0
15-19,13,144.0,3276,1121.0,231,2301,2216.0
20-24,13,371.0,6409,4786.0,604,6477,4957.0
25-29,13,422.0,6394,5853.0,642,7413,5161.0
30-34,13,480.0,5576,5843.0,601,7015,4787.0
35-39,13,370.0,3917,4628.0,508,5167,3706.0
40-44,13,289.0,2624,3028.0,370,3370,2587.0
45-50,13,238.0,1551,2081.0,319,2165,1785.0
Más de 50,13,4151.0,35848,36940.0,4751,43413,33325.0
14 o menos,14,51.0,253,17.0,16,168,158.0
15-19,14,130.0,3186,1033.0,240,2274,2208.0
20-24,14,357.0,5918,4576.0,591,6251,4864.0
25-29,14,447.0,5920,5450.0,634,7143,4944.0
30-34,14,439.0,5209,5465.0,627,6834,4578.0
35-39,14,382.0,3784,4389.0,550,5168,3709.0
40-44,14,270.0,2477,2838.0,353,3392,2396.0
45-50,14,232.0,1489,1962.0,281,2181,1693.0
Más de 50,14,4158.0,33958,34874.0,4764,43245,32142.0
14 o menos,15,37.0,238,12.0,8,145,142.0
15-19,15,136.0,2759,988.0,254,2074,1976.0
20-24,15,379.0,5619,4273.0,601,6153,4484.0
25-29,15,457.0,5515,5259.0,659,7059,4525.0
30-34,15,424.0,4738,4987.0,614,6482,3971.0
35-39,15,370.0,3615,4155.0,515,5221,3223.0
40-44,15,296.0,2209,2757.0,376,3316,2159.0
45-50,15,205.0,1334,1778.0,282,2093,1402.0
Más de 50,15,4138.0,31389,31693.0,4647,41261,28550.0
14 o menos,16,56.0,184,18.0,10,120,140.0
15-19,16,131.0,2586,870.0,223,1978,1746.0
20-24,16,343.0,5373,3977.0,566,5731,4262.0
25-29,16,452.0,5435,5077.0,652,6682,4593.0
30-34,16,471.0,4577,4821.0,632,6162,4065.0
35-39,16,395.0,3426,4063.0,567,4887,3323.0
40-44,16,279.0,2224,2558.0,369,3167,2114.0
45-50,16,223.0,1320,1685.0,277,1980,1430.0
Más de 50,16,4240.0,30665,31257.0,4758,39965,28811.0
14 o menos,17,59.0,186,13.0,8,121,142.0
15-19,17,129.0,2240,794.0,280,1703,1651.0
20-24,17,421.0,5256,3830.0,704,5711,4285.0
25-29,17,549.0,5165,4877.0,747,6583,4499.0
30-34,17,448.0,4239,4456.0,604,5815,3727.0
35-39,17,474.0,3399,3977.0,591,4976,3228.0
40-44,17,309.0,2181,2555.0,434,3233,2111.0
45-50,17,248.0,1428,1657.0,306,2051,1498.0
Más de 50,17,4713.0,29324,29645.0,5290,39199,27975.0
14 o menos,18,38.0,145,15.0,10,86,115.0
15-19,18,144.0,2142,814.0,232,1626,1631.0
20-24,18,416.0,5207,3701.0,677,5390,4377.0
25-29,18,484.0,5033,4706.0,805,6452,4347.0
30-34,18,497.0,4230,4403.0,676,5760,3834.0
35-39,18,484.0,3278,3603.0,623,4725,3084.0
40-44,18,362.0,2188,2569.0,432,3203,2222.0
45-50,18,251.0,1267,1595.0,314,1900,1459.0
Más de 50,18,4800.0,29018,29328.0,5481,38914,28043.0
14 o menos,19,38.0,147,24.0,10,103,111.0
15-19,19,119.0,2162,777.0,274,1578,1671.0
20-24,19,487.0,5233,3835.0,738,5286,4747.0
25-29,19,603.0,5341,4869.0,859,6573,4815.0
30-34,19,572.0,4457,4499.0,804,5929,4149.0
35-39,19,527.0,3503,4011.0,733,4945,3567.0
40-44,19,413.0,2434,2760.0,494,3371,2570.0
45-50,19,297.0,1410,1780.0,391,2126,1631.0
Más de 50,19,5522.0,30531,30561.0,6377,39661,31183.0
14 o menos,20,37.0,124,14.0,9,78,103.0
15-19,20,136.0,1763,576.0,201,1141,1447.0
20-24,20,401.0,4532,3282.0,682,4294,4341.0
25-29,20,468.0,4752,4389.0,702,5312,4698.0
30-34,20,508.0,4141,4145.0,724,5082,4178.0
35-39,20,441.0,3109,3468.0,612,3990,3392.0
40-44,20,338.0,2122,2398.0,453,2740,2404.0
45-50,20,284.0,1316,1641.0,324,1772,1702.0
Más de 50,20,4843.0,27203,27489.0,5409,32835,29951.0
14 o menos,21,43.0,144,15.0,21,96,120.0
15-19,21,154.0,1891,646.0,232,1301,1539.0
20-24,21,496.0,5439,3788.0,806,5243,5005.0
25-29,21,638.0,5970,5201.0,921,6671,5723.0
30-34,21,613.0,5274,5236.0,976,6555,5212.0
35-39,21,581.0,4103,4501.0,839,5365,4348.0
40-44,21,546.0,2957,3455.0,650,4098,3324.0
45-50,21,395.0,1757,2163.0,450,2526,2103.0
Más de 50,21,6418.0,35451,5245.0,1290,25463,21514.0
