Grupo de Edad,Año,VI Victima Ninguno,VI Agresor Ninguno,VI Victima Primaria,VI Agresor Primaria,VI Victima Básico,VI Agresor Básico,VI Victima Diversificado,VI Agresor Diversificado,VI Victima Universitario,VI Agresor Universitario
14 o menos,9,42.0,0.0,169.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0
15-19,9,469.0,148.0,1370.0,528.0,605.0,207.0,256.0,76.0,7.0,2.0
20-24,9,1019.0,568.0,2642.0,2123.0,1025.0,903.0,1053.0,647.0,112.0,47.0
25-29,9,1109.0,776.0,2653.0,2825.0,982.0,1106.0,1183.0,1083.0,161.0,103.0
30-34,9,1107.0,693.0,2244.0,2550.0,645.0,868.0,902.0,991.0,172.0,147.0
35-39,9,964.0,685.0,1683.0,2116.0,421.0,676.0,561.0,714.0,118.0,162.0
40-44,9,713.0,559.0,1068.0,1542.0,227.0,374.0,342.0,446.0,77.0,92.0
45-50,9,586.0,455.0,671.0,1047.0,135.0,254.0,202.0,261.0,57.0,74.0
Más de 50,9,1336.0,925.0,1019.0,1371.0,161.0,178.0,221.0,255.0,62.0,88.0
14 o menos,10,36.0,0.0,170.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0
15-19,10,522.0,141.0,1437.0,498.0,682.0,248.0,276.0,109.0,7.0,3.0
20-24,10,1039.0,583.0,2592.0,2086.0,1024.0,942.0,1131.0,693.0,84.0,60.0
25-29,10,1216.0,784.0,2470.0,2662.0,951.0,1069.0,1278.0,1123.0,183.0,126.0
30-34,10,1223.0,807.0,2249.0,2590.0,682.0,913.0,1014.0,1037.0,201.0,152.0
35-39,10,1036.0,752.0,1565.0,2128.0,417.0,664.0,619.0,715.0,124.0,134.0
40-44,10,783.0,621.0,1003.0,1472.0,247.0,394.0,357.0,469.0,82.0,108.0
45-50,10,567.0,540.0,671.0,975.0,135.0,214.0,223.0,283.0,44.0,79.0
Más de 50,10,1370.0,963.0,929.0,1280.0,152.0,234.0,240.0,311.0,61.0,99.0
14 o menos,11,36.0,0.0,148.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
15-19,11,479.0,166.0,1477.0,581.0,697.0,308.0,335.0,102.0,14.0,4.0
20-24,11,1012.0,578.0,2647.0,2200.0,1081.0,981.0,1221.0,894.0,116.0,57.0
25-29,11,1209.0,762.0,2639.0,2709.0,896.0,1095.0,1204.0,1097.0,195.0,120.0
30-34,11,1251.0,850.0,2345.0,2787.0,683.0,992.0,992.0,1076.0,232.0,150.0
35-39,11,1056.0,719.0,1712.0,2270.0,443.0,665.0,670.0,787.0,167.0,144.0
40-44,11,776.0,568.0,1088.0,1601.0,252.0,389.0,342.0,484.0,84.0,130.0
45-50,11,597.0,526.0,729.0,1084.0,140.0,219.0,202.0,305.0,64.0,87.0
Más de 50,11,1463.0,1016.0,1101.0,1384.0,142.0,258.0,264.0,340.0,80.0,107.0
14 o menos,12,41.0,0.0,176.0,0.0,58.0,0.0,2.0,0.0,0.0,0.0
15-19,12,563.0,155.0,1618.0,600.0,771.0,315.0,339.0,126.0,11.0,1.0
20-24,12,1032.0,628.0,2825.0,2335.0,1309.0,1211.0,1423.0,917.0,126.0,58.0
25-29,12,1199.0,916.0,2833.0,2887.0,1042.0,1226.0,1390.0,1274.0,220.0,127.0
30-34,12,1334.0,897.0,2488.0,3004.0,775.0,1104.0,1156.0,1232.0,250.0,198.0
35-39,12,1067.0,802.0,1786.0,2405.0,538.0,765.0,782.0,849.0,164.0,162.0
40-44,12,830.0,666.0,1162.0,1657.0,240.0,473.0,405.0,504.0,119.0,114.0
45-50,12,590.0,543.0,748.0,1104.0,152.0,250.0,192.0,331.0,62.0,89.0
Más de 50,12,962.0,795.0,898.0,1310.0,162.0,229.0,233.0,303.0,66.0,105.0
14 o menos,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-19,13,508.0,151.0,1664.0,680.0,815.0,336.0,327.0,119.0,9.0,4.0
20-24,13,951.0,628.0,2849.0,2456.0,1232.0,1158.0,1365.0,916.0,147.0,65.0
25-29,13,1132.0,799.0,2812.0,2778.0,952.0,1165.0,1481.0,1377.0,214.0,135.0
30-34,13,1279.0,880.0,2495.0,2898.0,749.0,1077.0,1139.0,1174.0,228.0,171.0
35-39,13,1033.0,847.0,1809.0,2316.0,472.0,748.0,686.0,879.0,172.0,181.0
