Grupo de Edad,Año,Ocupaciones militares,Directores y gerentes,Profesionales científicos e intelectuales,Técnicos y profesionales de nivel medio,Personal de apoyo administrativo,Trabajadores de los servicios y vendedores de comercios y mercados,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",Operadores de instalaciones y máquinas y ensambladores,Ocupaciones elementales,Ocupación no  especificada
14 o menos,9,0,0,0,0,2,18,2,3,0,2176,1.0
15-19,9,0,5,345,214,380,657,22,211,186,55917,36.0
20-24,9,1,35,3214,942,2527,1496,42,657,728,89974,225.0
25-29,9,2,119,3197,837,3371,1338,32,680,969,69989,191.0
30-34,9,0,140,2376,431,2136,900,26,549,698,46550,101.0
35-39,9,1,67,1000,154,671,411,12,237,339,26781,42.0
40-44,9,0,11,225,45,150,104,5,68,142,9640,8.0
45-50,9,0,1,23,1,14,13,2,5,26,1229,2.0
Más de 50,9,0,0,14,0,6,2,2,5,8,327,0.0
14 o menos,10,0,0,0,0,1,6,0,1,0,2213,0.0
15-19,10,0,6,341,388,464,474,43,207,194,62137,95.0
20-24,10,4,24,3901,1649,3008,1425,47,631,681,93811,273.0
25-29,10,1,39,4210,1186,3454,1320,45,643,777,71827,242.0
30-34,10,1,43,2888,635,2395,921,28,477,611,48546,152.0
35-39,10,0,18,1251,253,764,420,16,250,353,26934,47.0
40-44,10,0,3,276,38,119,95,9,53,121,9450,16.0
45-50,10,0,0,25,7,12,13,2,6,29,1149,1.0
Más de 50,10,0,0,2,3,1,3,2,3,12,321,0.0
14 o menos,11,0,0,0,3,1,20,89,9,3,2471,3.0
15-19,11,4,0,298,480,580,837,1308,327,217,68689,87.0
20-24,11,2,89,4152,2346,3884,1804,141,578,786,94340,316.0
25-29,11,3,184,4865,1584,3708,1822,97,580,779,71451,281.0
30-34,11,3,221,2893,816,2721,1267,71,373,553,48530,168.0
35-39,11,0,102,1267,283,920,686,48,170,245,26893,79.0
40-44,11,0,12,263,66,146,188,13,49,70,9347,11.0
45-50,11,0,1,25,11,16,27,3,1,5,1081,1.0
Más de 50,11,0,0,4,0,3,9,0,1,3,268,0.0
14 o menos,12,0,0,0,1,0,13,1,4,1,2684,1.0
15-19,12,1,10,470,553,585,645,29,237,178,74882,70.0
20-24,12,2,66,4384,2747,4298,1972,39,574,678,98160,262.0
25-29,12,3,177,6121,1899,4084,1821,28,622,822,71498,183.0
30-34,12,3,215,3728,979,2992,1278,19,460,641,49376,110.0
35-39,12,1,110,1543,348,987,651,13,239,331,26901,60.0
40-44,12,1,21,274,74,161,166,6,90,74,9323,13.0
45-50,12,0,1,27,10,12,18,0,7,14,991,0.0
Más de 50,12,0,0,5,2,4,3,0,1,5,222,0.0
14 o menos,13,0,0,0,0,1,8,2,2,1,0,
15-19,13,0,5,403,353,385,587,39,180,168,27,
20-24,13,3,61,3498,2727,3960,2082,48,536,636,122,
25-29,13,2,166,6726,2422,4465,2093,31,544,730,134,
30-34,13,1,270,4488,1244,3108,1568,33,426,602,104,
35-39,13,0,184,1953,455,1354,837,13,242,299,44,
40-44,13,1,28,445,87,221,220,7,68,80,23,
45-50,13,0,1,28,7,13,22,1,4,6,3,
Más de 50,13,0,1,7,2,1,3,0,0,1,1,
14 o menos,14,0,0,0,0,0,7,1,1,1,1,
15-19,14,0,0,531,416,402,587,29,147,151,57,
20-24,14,2,4,3198,2579,3758,1964,61,503,562,182,
25-29,14,3,54,6557,2410,4440,2101,42,422,769,181,
30-34,14,4,70,4754,1255,3020,1504,29,338,569,119,
35-39,14,1,29,1937,449,1238,790,14,226,266,57,
40-44,14,1,4,379,95,207,214,1,53,75,15,
45-50,14,0,4,28,6,11,12,1,1,3,2,
Más de 50,14,0,0,9,1,0,4,0,0,2,1,
14 o menos,15,0,0,0,0,0,7,2,2,0,1,
15-19,15,0,0,453,509,372,685,36,126,148,20,
20-24,15,3,49,3103,2412,3462,2269,62,403,581,128,
25-29,15,9,178,6321,2700,4588,2202,35,481,701,174,
30-34,15,2,285,5111,1366,3024,1655,20,353,567,138,
35-39,15,3,171,2068,515,1414,896,19,216,332,63,
40-44,15,0,32,406,93,209,201,6,62,75,14,
45-50,15,0,1,20,2,9,19,0,2,6,0,
Más de 50,15,0,0,3,1,1,3,0,1,1,0,
14 o menos,16,0,0,0,0,0,2,0,1,1,0,
15-19,16,1,8,381,575,353,734,0,147,183,67,
20-24,16,0,36,2806,2139,2681,2042,1,431,514,192,
25-29,16,0,137,5593,2656,4313,2217,1,454,645,199,
30-34,16,2,226,5104,1312,2794,1546,0,375,565,127,
35-39,16,1,177,2034,500,1339,813,0,199,349,86,
40-44,16,0,38,393,89,193,208,1,46,62,25,
45-50,16,0,0,21,9,2,10,0,0,2,2,
Más de 50,16,0,0,2,0,0,1,0,0,0,0,
14 o menos,17,0,0,0,0,0,5,0,1,4,0,
15-19,17,0,0,277,683,371,784,1,165,189,63,
20-24,17,2,26,2607,2189,2335,2056,0,446,440,178,
25-29,17,8,84,4814,2591,4077,2088,3,393,557,168,
30-34,17,3,160,5193,1353,2698,1478,2,317,461,139,
35-39,17,2,98,2199,556,1370,861,1,186,295,74,
40-44,17,0,17,396,100,207,238,0,43,61,18,
45-50,17,0,5,24,6,11,11,0,3,4,3,
Más de 50,17,0,0,1,3,0,3,0,0,0,0,
14 o menos,18,0,0,0,0,0,0,0,0,0,1,
15-19,18,0,0,227,702,316,736,0,211,158,64,
20-24,18,2,13,2325,2393,2077,2183,5,433,483,214,
25-29,18,8,68,3974,2700,3509,2082,1,374,505,174,
30-34,18,0,118,5171,1677,2725,1520,1,319,458,118,
35-39,18,3,91,2195,663,1345,873,3,184,289,70,
40-44,18,0,17,410,113,230,251,0,53,69,21,
45-50,18,0,2,27,6,11,12,0,5,4,3,
Más de 50,18,0,0,1,3,2,0,0,0,0,0,
14 o menos,19,0,0,0,0,0,4,0,2,0,0,
15-19,19,0,0,212,680,313,826,3,198,167,65,
20-24,19,0,7,1951,2374,1899,2171,16,418,501,163,
25-29,19,0,23,3284,2452,3197,1890,5,391,450,138,
30-34,19,0,92,4983,1818,2830,1507,7,281,419,106,
35-39,19,0,102,2267,682,1340,871,1,189,279,60,
40-44,19,0,22,428,126,271,230,1,67,85,11,
45-50,19,0,3,28,9,11,12,0,4,4,0,
Más de 50,19,0,0,1,1,1,1,0,0,0,0,
14 o menos,20,0,0,0,0,0,2,0,0,0,0,
15-19,20,0,0,176,597,257,680,0,303,45,77,
20-24,20,1,2,1420,2363,1497,2278,1,810,165,205,
25-29,20,3,10,2918,2065,2561,1876,1,583,222,142,
30-34,20,1,34,4596,1635,2752,1450,1,484,246,95,
35-39,20,1,54,2488,581,1293,864,1,266,174,56,
40-44,20,0,16,439,108,277,252,0,87,44,16,
45-50,20,0,3,31,5,11,15,0,3,1,1,
Más de 50,20,0,0,2,0,2,0,0,0,1,0,
