Grupo de Edad,Año,Promedio de Hijos
14 o menos,9,1.04
15-19,9,1.25
20-24,9,1.94
25-29,9,3.0
30-34,9,4.25
35-39,9,5.74
40-44,9,7.02
45-50,9,7.1
Más de 50,9,6.59
14 o menos,10,1.07
15-19,10,1.27
20-24,10,1.93
25-29,10,2.95
30-34,10,4.18
35-39,10,5.63
40-44,10,6.91
45-50,10,6.88
Más de 50,10,7.01
14 o menos,11,1.1
15-19,11,1.29
20-24,11,1.92
25-29,11,2.91
30-34,11,4.09
35-39,11,5.55
40-44,11,6.88
45-50,11,7.01
Más de 50,11,6.3
14 o menos,12,1.15
15-19,12,1.32
20-24,12,1.92
25-29,12,2.89
30-34,12,4.02
35-39,12,5.45
40-44,12,6.8
45-50,12,7.02
Más de 50,12,6.36
14 o menos,13,1.04
15-19,13,1.23
20-24,13,1.83
25-29,13,2.71
30-34,13,3.78
35-39,13,5.08
40-44,13,6.54
45-50,13,7.21
Más de 50,13,6.32
14 o menos,14,1.02
15-19,14,1.24
20-24,14,1.87
25-29,14,2.74
30-34,14,3.81
35-39,14,5.15
40-44,14,6.56
45-50,14,7.0
Más de 50,14,6.16
14 o menos,15,1.02
15-19,15,1.24
20-24,15,1.86
25-29,15,2.71
30-34,15,3.71
35-39,15,5.0
40-44,15,6.38
45-50,15,6.88
Más de 50,15,6.32
14 o menos,16,1.03
15-19,16,1.27
20-24,16,1.93
25-29,16,2.76
30-34,16,3.75
35-39,16,5.01
40-44,16,6.37
45-50,16,6.96
Más de 50,16,5.86
14 o menos,17,1.02
15-19,17,1.26
20-24,17,1.89
25-29,17,2.69
30-34,17,3.63
35-39,17,4.82
40-44,17,6.2
45-50,17,6.89
Más de 50,17,6.67
14 o menos,18,1.02
15-19,18,1.24
20-24,18,1.86
25-29,18,2.66
30-34,18,3.53
35-39,18,4.69
40-44,18,6.01
45-50,18,6.48
Más de 50,18,4.57
14 o menos,19,1.02
15-19,19,1.23
20-24,19,1.84
25-29,19,2.59
30-34,19,3.41
35-39,19,4.51
40-44,19,5.78
45-50,19,6.54
Más de 50,19,6.26
14 o menos,20,1.01
15-19,20,1.22
20-24,20,1.79
25-29,20,2.5
30-34,20,3.25
35-39,20,4.26
40-44,20,5.5
45-50,20,6.12
Más de 50,20,4.91
14 o menos,21,1.01
15-19,21,1.22
20-24,21,1.81
25-29,21,2.53
30-34,21,3.26
35-39,21,4.24
40-44,21,5.44
45-50,21,6.09
Más de 50,21,5.44
