Departamento de residencia,Total,Soltera,Casada,Unida,Ignorado,Anio
Todos los departamentos,351628,159322,189415,2131,760,09
Guatemala,58906,27439,31343,55,69,09
El Progreso,3814,1553,2243,13,5,09
Sacatepéquez,6708,3825,2874,5,4,09
Chimaltenango,14482,9898,4566,11,7,09
Escuintla,14552,4993,9437,67,55,09
Santa Rosa,8181,2871,5278,18,14,09
Sololá,9511,4854,4551,95,11,09
Totonicapán,11410,6836,4495,65,14,09
Quetzaltenango,18653,8852,9736,38,27,09
Suchitepéquez,12771,6247,6419,15,90,09
Retalhuleu,7297,3477,3798,10,12,09
San Marcos,27590,10072,16822,539,157,09
Huehuetenango,32782,12145,20438,111,88,09
Quiché,26849,13151,13491,156,51,09
Baja Verapaz,7218,4099,3100,13,6,09
Alta Verapaz,32925,17876,14869,140,40,09
Petén,13632,4282,8636,702,12,09
Izabal,8956,2850,6080,14,12,09
Zacapa,5626,1780,3835,4,7,09
Chiquimula,10181,4082,6058,28,13,09
Jalapa,8270,3552,4712,4,2,09
Jutiapa,10809,4557,6211,27,14,09
Extranjero,129,21,106,1,1,09
Ignorado,376,10,317,0,49,09
Todos los departamentos,361906,203436,156644,1403,423,10
Guatemala,59021,32557,26349,60,55,10
El Progreso,3761,2298,1450,11,2,10
Sacatepéquez,6697,2975,3718,3,1,10
Chimaltenango,14998,5377,9612,1,8,10
Escuintla,14342,9598,4613,15,116,10
Santa Rosa,8253,5428,2813,4,8,10
Sololá,9413,4671,4639,102,1,10
Totonicapán,11400,4463,6876,54,7,10
Quetzaltenango,19004,10372,8568,46,18,10
Suchitepéquez,12947,6703,6227,6,11,10
Retalhuleu,7418,4127,3271,11,9,10
San Marcos,29322,18845,10317,137,23,10
Huehuetenango,36390,23230,13101,42,17,10
Quiché,27795,14473,13241,48,33,10
Baja Verapaz,7628,3394,4226,1,7,10
Alta Verapaz,33501,16470,16884,105,42,10
Petén,14147,9522,3914,698,13,10
Izabal,9878,6897,2966,9,6,10
Zacapa,5648,3840,1803,2,3,10
Chiquimula,10400,6231,4139,24,6,10
Jalapa,8548,5198,3343,0,7,10
Jutiapa,11134,6560,4538,24,12,10
Extranjero,113,96,16,0,1,10
Ignorado,148,111,20,0,17,10
Todos los departamentos,373692,210753,161350,1332,257,11
Guatemala,61951,34829,27072,24,26,11
