Mes,Departamento de residencia,Total,Hombres,Mujeres,Anio
Todos los meses,Todos los departamentos,351628,178863,172765,09
Todos los meses,Guatemala,58906,29884,29022,09
Todos los meses,El Progreso,3814,1949,1865,09
Todos los meses,Sacatepéquez,6708,3435,3273,09
Todos los meses,Chimaltenango,14482,7413,7069,09
Todos los meses,Escuintla,14552,7455,7097,09
Todos los meses,Santa Rosa,8181,4165,4016,09
Todos los meses,Sololá,9511,4838,4673,09
Todos los meses,Totonicapán,11410,5792,5618,09
Todos los meses,Quetzaltenango,18653,9391,9262,09
Todos los meses,Suchitepéquez,12771,6543,6228,09
Todos los meses,Retalhuleu,7297,3756,3541,09
Todos los meses,San Marcos,27590,14054,13536,09
Todos los meses,Huehuetenango,32782,16552,16230,09
Todos los meses,Quiché,26849,13694,13155,09
Todos los meses,Baja Verapaz,7218,3646,3572,09
Todos los meses,Alta Verapaz,32925,16597,16328,09
Todos los meses,Petén,13632,6937,6695,09
Todos los meses,Izabal,8956,4564,4392,09
Todos los meses,Zacapa,5626,2901,2725,09
Todos los meses,Chiquimula,10181,5256,4925,09
Todos los meses,Jalapa,8270,4206,4064,09
Todos los meses,Jutiapa,10809,5565,5244,09
Todos los meses,Extranjero,129,75,54,09
Todos los meses,Ignorado,376,195,181,09
Enero,Todos los departamentos,30715,15566,15149,09
Enero,Guatemala,5189,2605,2584,09
Enero,El Progreso,305,158,147,09
Enero,Sacatepéquez,601,312,289,09
Enero,Chimaltenango,1211,612,599,09
Enero,Escuintla,1217,645,572,09
Enero,Santa Rosa,714,353,361,09
Enero,Sololá,847,422,425,09
Enero,Totonicapán,1028,543,485,09
Enero,Quetzaltenango,1545,780,765,09
Enero,Suchitepéquez,1052,542,510,09
Enero,Retalhuleu,621,336,285,09
Enero,San Marcos,2410,1182,1228,09
Enero,Huehuetenango,2915,1465,1450,09
Enero,Quiché,2447,1231,1216,09
Enero,Baja Verapaz,617,308,309,09
Enero,Alta Verapaz,3028,1499,1529,09
Enero,Petén,1097,575,522,09
Enero,Izabal,632,318,314,09
Enero,Zacapa,495,259,236,09
Enero,Chiquimula,952,494,458,09
Enero,Jalapa,822,420,402,09
Enero,Jutiapa,934,485,449,09
Enero,Extranjero,18,9,9,09
Enero,Ignorado,18,13,5,09
Febrero,Todos los departamentos,26078,13383,12695,09
Febrero,Guatemala,4506,2318,2188,09
Febrero,El Progreso,267,128,139,09
Febrero,Sacatepéquez,503,261,242,09
Febrero,Chimaltenango,1116,591,525,09
Febrero,Escuintla,1096,564,532,09
Febrero,Santa Rosa,610,326,284,09
Febrero,Sololá,751,398,353,09
Febrero,Totonicapán,832,428,404,09
Febrero,Quetzaltenango,1430,728,702,09
Febrero,Suchitepéquez,897,465,432,09
Febrero,Retalhuleu,538,292,246,09
Febrero,San Marcos,2006,1030,976,09
