Edad,Total,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa,Extranjero,Ignorado,Anio
Todas las edades,351628,58906,3814,6708,14482,14552,8181,9511,11410,18653,12771,7297,27590,32782,26849,7218,32925,13632,8956,5626,10181,8270,10809,129,376,09
10,12,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,1,0,2,1,0,1,0,0,09
11,30,0,0,0,0,0,1,0,2,1,1,0,0,1,8,0,5,4,1,2,2,1,1,0,0,09
12,93,4,1,1,0,3,1,2,5,4,4,4,3,6,7,2,16,8,12,5,3,2,0,0,0,09
13,450,33,1,3,3,32,12,3,5,16,12,9,34,43,32,10,49,54,22,18,16,18,24,1,0,09
14,1849,184,25,22,31,109,49,29,19,67,63,60,149,122,131,50,197,172,94,71,64,66,73,0,2,09
15,5054,555,51,72,132,260,155,85,97,250,172,127,369,499,374,128,547,388,217,110,159,130,171,5,1,09
16,9382,1180,99,130,294,517,275,205,190,459,378,253,752,859,666,221,1020,561,351,176,256,216,322,2,0,09
17,13246,1749,166,227,427,682,403,265,295,663,519,346,1130,1222,916,316,1362,648,428,260,462,337,419,3,1,09
18,14038,2110,152,226,457,679,361,340,436,817,573,329,1220,1360,1025,325,1427,504,314,247,378,324,428,6,0,09
19,19346,3119,221,360,699,978,498,414,546,1089,757,457,1630,1837,1369,389,1813,763,524,346,536,399,595,7,0,09
20,20492,3502,254,416,793,990,496,470,600,1093,771,455,1621,1931,1441,451,1920,750,521,386,567,456,601,6,1,09
21,21076,3670,245,446,844,949,527,540,642,1143,791,436,1564,1914,1457,488,1930,821,576,358,608,467,656,4,0,09
22,20030,3585,222,403,814,988,480,514,579,1002,757,451,1528,1827,1368,411,1879,701,550,323,533,500,609,5,1,09
23,19375,3448,236,405,789,878,436,484,601,1040,749,426,1452,1671,1361,410,1813,775,481,298,542,496,577,6,1,09
24,19013,3422,238,437,755,842,432,485,609,1049,693,416,1495,1621,1301,380,1768,743,482,299,551,415,572,7,1,09
25,18017,3345,213,374,761,784,402,446,559,950,705,349,1390,1545,1337,370,1625,645,422,297,542,393,554,9,0,09
26,17336,3296,200,360,726,746,378,502,559,891,634,393,1269,1551,1180,341,1535,644,432,282,494,404,514,5,0,09
27,16356,3113,173,371,706,643,387,435,509,895,611,331,1238,1453,1059,306,1513,610,396,264,446,397,494,6,0,09
28,15078,3040,146,310,678,564,329,419,492,785,518,326,1107,1360,982,301,1327,522,360,216,453,360,475,8,0,09
29,14027,2821,142,294,665,514,309,410,457,709,466,278,1030,1238,1091,268,1209,465,303,201,421,349,381,6,0,09
30,13039,2573,137,280,629,441,248,378,466,673,425,249,968,1113,1057,227,1197,462,276,185,377,292,380,6,0,09
31,11952,2325,125,228,567,387,229,376,437,588,356,223,877,1085,992,246,1070,438,262,150,344,286,353,8,0,09
32,11076,2124,107,202,515,339,204,359,407,562,334,215,869,995,930,187,1023,376,243,150,329,267,332,7,0,09
33,9422,1674,90,163,429,288,177,317,391,468,314,159,690,880,815,193,911,337,195,148,291,216,274,2,0,09
34,8474,1516,71,152,415,275,170,298,318,424,268,142,689,763,739,165,796,285,200,97,222,186,282,1,0,09
35,7467,1259,74,128,367,204,145,250,274,375,242,135,605,663,763,135,699,260,155,86,216,192,239,1,0,09
36,6998,1093,68,99,330,207,144,236,265,376,213,103,554,663,728,154,722,215,147,95,181,173,226,5,1,09
37,5969,891,54,87,288,136,117,188,243,326,180,80,524,553,611,135,583,230,153,85,177,146,177,5,0,09
38,5110,684,41,61,271,161,123,170,255,280,153,91,389,508,547,95,451,168,121,76,171,134,158,2,0,09
39,4204,538,33,66,202,114,89,167,202,220,143,51,364,455,457,91,376,141,99,52,126,105,112,1,0,09
40,3413,435,39,55,182,79,72,147,168,164,108,50,280,340,353,47,343,122,76,52,91,100,109,1,0,09
41,2759,350,20,59,152,64,68,101,136,155,90,41,236,289,271,57,268,113,63,23,75,57,70,1,0,09
42,2029,215,17,27,111,58,56,74,89,121,59,29,218,194,225,36,182,84,50,21,56,54,53,0,0,09
43,1364,142,8,22,72,35,36,50,85,75,50,10,131,142,154,32,126,42,25,11,40,31,45,0,0,09
44,850,80,5,14,37,22,23,27,30,33,32,14,96,95,82,10,92,33,13,14,24,37,37,0,0,09
45,545,61,5,6,29,16,18,19,17,23,13,8,66,72,69,10,33,20,9,3,15,13,20,0,0,09
46,341,33,3,10,11,7,8,12,18,15,12,6,35,40,41,5,24,18,9,0,8,13,13,0,0,09
47,191,16,2,0,10,4,1,11,8,9,7,4,27,31,11,2,17,6,7,2,4,5,6,1,0,09
48,158,7,2,1,5,7,1,2,6,9,7,6,15,18,22,4,15,16,3,2,2,2,6,0,0,09
49,83,4,0,0,0,3,4,3,5,1,5,1,8,13,10,2,8,4,0,4,2,1,5,0,0,09
50,78,3,1,0,2,1,1,3,8,4,2,0,11,11,4,1,5,7,7,0,3,0,4,0,0,09
51,72,4,0,1,0,2,1,2,4,2,5,3,11,8,4,1,11,4,1,3,3,1,1,0,0,09
52,41,1,1,0,1,1,1,1,2,4,4,0,9,3,4,0,5,3,0,0,0,0,1,0,0,09
53,43,2,1,0,0,1,0,0,4,1,2,0,8,8,3,2,1,4,1,1,1,0,3,0,0,09
54,40,1,1,0,0,0,2,1,3,1,0,0,7,9,7,1,2,2,1,0,0,0,2,0,0,09
55,38,1,0,0,2,0,1,0,4,0,1,0,8,2,2,1,8,4,2,0,1,0,1,0,0,09
56,19,0,0,0,0,0,0,1,3,0,1,0,4,2,0,0,1,7,0,0,0,0,0,0,0,09
57,13,1,0,0,0,0,0,1,0,0,0,0,3,2,1,0,1,3,0,0,1,0,0,0,0,09
58,13,0,0,0,0,0,1,0,0,0,1,1,2,3,2,0,1,0,0,1,0,0,1,0,0,09
59,7,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,09
Ignorado,11520,697,124,190,281,542,310,269,360,819,570,230,903,1760,839,212,994,449,352,204,387,228,431,2,367,09
Todas las edades,361906,59021,3761,6697,14998,14342,8253,9413,11400,19004,12947,7418,29322,36390,27795,7628,33501,14147,9878,5648,10400,8548,11134,113,148,10
10,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,7,10
11,34,1,0,0,0,1,0,1,0,3,1,1,2,4,0,0,4,3,3,3,1,1,2,0,3,10
12,104,11,0,1,1,4,5,1,0,5,5,7,8,10,3,3,9,8,4,3,5,6,3,0,2,10
13,449,36,4,6,4,32,7,5,2,17,20,13,37,45,24,4,45,66,28,11,17,11,13,0,2,10
14,2073,168,26,21,37,119,66,23,29,106,74,58,162,224,136,43,222,186,107,50,82,45,84,1,4,10
15,5717,571,59,67,135,321,173,82,94,309,210,139,433,615,414,138,664,408,216,122,171,147,224,1,4,10
16,10596,1200,108,129,265,500,297,196,258,566,392,266,913,1247,830,276,1109,613,354,207,281,267,308,4,10,10
17,15306,1900,165,262,510,713,384,306,382,873,586,370,1273,1724,1139,375,1488,782,519,253,437,407,447,3,8,10
