Edad de la madre,Total,1,2,3,4,5,6,7,8,9,10 y más,Ignorado,Anio
Todas las edades,351628,122837,77234,50485,31196,21763,15917,11308,7980,5300,7608,0,09
10,12,12,0,0,0,0,0,0,0,0,0,0,09
11,30,30,0,0,0,0,0,0,0,0,0,0,09
12,93,93,0,0,0,0,0,0,0,0,0,0,09
13,450,449,1,0,0,0,0,0,0,0,0,0,09
14,1849,1767,79,3,0,0,0,0,0,0,0,0,09
15,5054,4763,277,13,1,0,0,0,0,0,0,0,09
16,9382,8472,846,56,8,0,0,0,0,0,0,0,09
17,13246,11205,1889,141,11,0,0,0,0,0,0,0,09
18,14038,10667,2962,374,30,4,1,0,0,0,0,0,09
19,19346,12870,5266,1042,134,16,8,7,3,0,0,0,09
20,20492,11594,6495,2047,295,43,8,6,2,1,1,0,09
21,21076,10150,7145,2952,690,113,17,4,4,0,1,0,09
22,20030,8091,6831,3608,1232,209,44,9,2,4,0,0,09
23,19375,6633,6421,4051,1713,459,75,14,5,2,2,0,09
24,19013,5522,5811,4352,2288,796,195,38,10,1,0,0,09
25,18017,4406,5223,4286,2486,1143,387,65,9,4,8,0,09
26,17336,3663,4561,4021,2729,1577,597,154,23,7,4,0,09
27,16356,3030,3935,3718,2640,1837,838,267,66,18,7,0,09
28,15078,2448,3299,3196,2609,1886,1100,393,104,34,9,0,09
29,14027,2040,2822,2849,2289,1974,1236,557,183,55,22,0,09
30,13039,1673,2311,2509,2129,1800,1377,796,328,85,31,0,09
31,11952,1341,1885,2152,1843,1683,1438,918,468,155,69,0,09
32,11076,1094,1587,1843,1558,1543,1440,1063,588,245,115,0,09
33,9422,871,1225,1391,1230,1306,1263,1010,631,306,189,0,09
34,8474,740,985,1179,1012,1099,1065,1026,705,371,292,0,09
35,7467,621,810,937,862,829,966,891,702,480,369,0,09
36,6998,513,610,759,753,763,868,903,765,520,544,0,09
37,5969,392,445,576,584,595,736,672,705,568,696,0,09
38,5110,322,358,437,437,463,572,617,612,534,758,0,09
39,4204,234,243,324,321,360,451,501,510,461,799,0,09
40,3413,182,199,228,223,266,316,352,416,421,810,0,09
41,2759,148,131,184,180,223,217,282,340,324,730,0,09
42,2029,110,82,101,111,141,150,205,251,199,679,0,09
43,1364,66,55,55,83,89,117,126,155,144,474,0,09
44,850,43,26,43,40,54,54,70,92,98,330,0,09
45,545,28,15,26,33,40,45,45,54,57,202,0,09
46,341,32,7,17,18,21,21,34,42,41,108,0,09
47,191,22,13,5,12,7,19,20,17,15,61,0,09
48,158,11,9,6,8,11,9,13,20,22,49,0,09
49,83,14,3,1,6,5,9,7,7,10,21,0,09
50,78,3,6,7,9,6,4,7,2,6,28,0,09
51,72,8,2,5,10,5,4,10,7,3,18,0,09
52,41,3,1,1,3,4,4,2,3,3,17,0,09
53,43,7,2,1,2,4,6,5,6,1,9,0,09
54,40,3,3,3,1,4,2,4,6,4,10,0,09
55,38,3,0,1,1,5,5,6,8,2,7,0,09
56,19,0,2,1,0,0,1,3,1,1,10,0,09
57,13,1,2,1,1,0,1,1,0,2,4,0,09
58,13,2,1,0,2,0,1,2,0,1,4,0,09
59,7,1,1,1,0,1,0,1,0,1,1,0,09
Ignorado,11520,6444,2352,982,569,379,250,202,128,94,120,0,09
Todas las edades,361906,124533,82509,51750,31820,21397,15720,10923,7648,5043,6951,3612,10
10,11,5,0,0,0,0,0,0,0,0,0,6,10
11,34,30,1,0,0,0,0,0,0,0,0,3,10
12,104,93,4,0,0,0,0,0,0,0,0,7,10
13,449,405,38,0,0,0,0,0,0,0,0,6,10
14,2073,1904,127,0,0,0,0,0,0,0,0,42,10
15,5717,5152,466,21,0,0,0,0,0,0,0,78,10
16,10596,9320,1089,70,5,0,0,0,0,0,0,112,10
17,15306,12552,2360,187,21,1,0,0,0,0,0,185,10
18,16771,12197,3770,541,49,10,0,0,0,0,0,204,10
19,21433,13573,6202,1257,156,24,5,3,0,0,0,213,10
20,22194,12433,7082,2060,347,43,11,7,0,0,0,211,10
21,21763,10430,7447,2837,675,131,17,7,0,0,0,219,10
22,21945,8834,7608,3720,1231,276,42,7,4,0,0,223,10
23,20416,6897,6958,4083,1690,464,99,21,4,0,0,200,10
24,19620,5527,6322,4394,2191,777,191,44,7,5,0,162,10
25,19009,4634,5589,4459,2571,1148,329,85,14,8,6,166,10
26,17841,3772,4887,4047,2717,1444,595,177,35,12,4,151,10
27,16949,3216,4114,3788,2801,1682,845,269,64,18,1,151,10
28,15635,2565,3515,3415,2636,1787,1056,411,93,29,6,122,10
29,14632,2189,2990,3028,2366,1831,1246,559,201,45,20,157,10
30,13829,1814,2510,2625,2292,1834,1412,769,296,89,43,145,10
31,12649,1453,2029,2418,1945,1707,1449,882,437,150,51,128,10
32,11265,1110,1634,1896,1692,1540,1396,978,551,259,117,92,10
