Grupos ocupacionales,Total,Menos de 15,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 y más,Ignorado,Anio
Todos los grupos ocupacionales,351628,2434,61066,99986,80814,53963,29748,10415,1318,364,11520,09
Ocupaciones militares,4,0,0,1,2,0,1,0,0,0,0,09
Directores y gerentes,382,0,5,35,119,140,67,11,1,0,4,09
Profesionales científicos e intelectuales,10569,0,345,3214,3197,2376,1000,225,23,14,175,09
Técnicos y profesionales de nivel medio,2699,0,214,942,837,431,154,45,1,0,75,09
Personal de apoyo administrativo,9385,2,380,2527,3371,2136,671,150,14,6,128,09
Trabajadores de los servicios y vendedores de comercios y mercados,5072,18,657,1496,1338,900,411,104,13,2,133,09
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",159,2,22,42,32,26,12,5,2,2,14,09
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2441,3,211,657,680,549,237,68,5,5,26,09
Operadores de instalaciones y máquinas y ensambladores,3136,0,186,728,969,698,339,142,26,8,40,09
Ocupaciones elementales,309913,2176,55917,89974,69989,46550,26781,9640,1229,327,7330,09
Ocupación no  especificada,619,1,36,225,191,101,42,8,2,0,13,09
Ignorado,7249,232,3093,145,89,56,33,17,2,0,3582,09
Todos los grupos ocupacionales,361906,2671,69823,105938,84066,56899,30417,10212,1249,348,283,10
Ocupaciones militares,6,0,0,4,1,1,0,0,0,0,0,10
Directores y gerentes,133,0,6,24,39,43,18,3,0,0,0,10
Profesionales científicos e intelectuales,12902,0,341,3901,4210,2888,1251,276,25,2,8,10
Técnicos y profesionales de nivel medio,4161,0,388,1649,1186,635,253,38,7,3,2,10
Personal de apoyo administrativo,10224,1,464,3008,3454,2395,764,119,12,1,6,10
Trabajadores de los servicios y vendedores de comercios y mercados,4678,6,474,1425,1320,921,420,95,13,3,1,10
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",194,0,43,47,45,28,16,9,2,2,2,10
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2272,1,207,631,643,477,250,53,6,3,1,10
Operadores de instalaciones y máquinas y ensambladores,2778,0,194,681,777,611,353,121,29,12,0,10
Ocupaciones elementales,316522,2213,62137,93811,71827,48546,26934,9450,1149,321,134,10
Ocupación no  especificada,826,0,95,273,242,152,47,16,1,0,0,10
Ignorado,7210,450,5474,484,322,202,111,32,5,1,129,10
Total República,373692,2841,75175,108949,85914,58050,30892,10220,1176,290,185,11
Ocupaciones militares,12,0,4,2,3,3,0,0,0,0,0,11
Directores y gerentes,609,0,0,89,184,221,102,12,1,0,0,11
Profesionales científicos e intelectuales,13768,0,298,4152,4865,2893,1267,263,25,4,1,11
Técnicos y profesionales de nivel medio,5590,3,480,2346,1584,816,283,66,11,0,1,11
Personal de apoyo administrativo,11983,1,580,3884,3708,2721,920,146,16,3,4,11
Trabajadores de los servicios y vendedores de comercios y mercados,6663,20,837,1804,1822,1267,686,188,27,9,3,11
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",1777,89,1308,141,97,71,48,13,3,0,7,11
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2090,9,327,578,580,373,170,49,1,1,2,11
Operadores de instalaciones y máquinas y ensambladores,2661,3,217,786,779,553,245,70,5,3,0,11
Ocupaciones elementales,323155,2471,68689,94340,71451,48530,26893,9347,1081,268,85,11
Ocupación no  especificada,946,3,87,316,281,168,79,11,1,0,0,11
Ignorado,4438,242,2348,511,560,434,199,55,5,2,82,11
Total República,388613,3014,81661,113484,87530,59982,31268,10225,1084,243,122,12
Ocupaciones militares,11,0,1,2,3,3,1,1,0,0,0,12
Directores y gerentes,600,0,10,66,177,215,110,21,1,0,0,12
Profesionales científicos e intelectuales,16555,0,470,4384,6121,3728,1543,274,27,5,3,12
Técnicos y profesionales de nivel medio,6614,1,553,2747,1899,979,348,74,10,2,1,12
Personal de apoyo administrativo,13124,0,585,4298,4084,2992,987,161,12,4,1,12
Trabajadores de los servicios y vendedores de comercios y mercados,6571,13,645,1972,1821,1278,651,166,18,3,4,12
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",135,1,29,39,28,19,13,6,0,0,0,12
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2235,4,237,574,622,460,239,90,7,1,1,12
Operadores de instalaciones y máquinas y ensambladores,2744,1,178,678,822,641,331,74,14,5,0,12
Ocupaciones elementales,334088,2684,74882,98160,71498,49376,26901,9323,991,222,51,12
Ocupación no  especificada,701,1,70,262,183,110,60,13,0,0,2,12
Ignorado,5235,309,4001,302,272,181,84,22,4,1,59,12
Total República,387342,1914,72317,114365,89052,61707,34271,12105,1254,199,158,13
Ocupaciones militares,7,0,0,3,2,1,0,1,0,0,0,13
Directores y gerentes,716,0,5,61,166,270,184,28,1,1,0,13
Profesionales científicos e intelectuales,17551,0,403,3498,6726,4488,1953,445,28,7,3,13
Técnicos y profesionales de nivel medio,7297,0,353,2727,2422,1244,455,87,7,2,0,13
Personal de apoyo administrativo,13509,1,385,3960,4465,3108,1354,221,13,1,1,13
Trabajadores de los servicios y vendedores de comercios y mercados,7420,8,587,2082,2093,1568,837,220,22,3,0,13
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",174,2,39,48,31,33,13,7,1,0,0,13
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2002,2,180,536,544,426,242,68,4,0,0,13
Operadores de instalaciones y máquinas y ensambladores,2524,1,168,636,730,602,299,80,6,1,1,13
Ocupaciones elementales,458,0,27,122,134,104,44,23,3,1,0,13
No especificado en otro grupo,4178,168,3420,165,125,95,74,19,4,1,107,13
Ignorado,331506,1732,66750,100527,71614,49768,28816,10906,1165,182,46,13
Total República,386195,2243,74975,115036,88153,60723,33169,10727,920,110,139,14
Ocupaciones militares,11,0,0,2,3,4,1,1,0,0,0,14
Directores y gerentes,165,0,0,4,54,70,29,4,4,0,0,14
Profesionales científicos e intelectuales,17396,0,531,3198,6557,4754,1937,379,28,9,3,14
Técnicos y profesionales de nivel medio,7212,0,416,2579,2410,1255,449,95,6,1,1,14
