Grupos de edad,Total,Alfabeta,Analfabeta,Ignorado,Sexo,Victima o Agresor,Anio
Total,2962,2519,425,18,H,V,09
  7 años,5,4,1,0,H,V,09
  8 años,4,3,1,0,H,V,09
  9 años,5,5,0,0,H,V,09
10 años,3,3,0,0,H,V,09
11 años,4,4,0,0,H,V,09
12 años,7,5,2,0,H,V,09
13 años,5,5,0,0,H,V,09
14 años,8,8,0,0,H,V,09
15 a 19,119,113,6,0,H,V,09
20 a 24,368,336,30,2,H,V,09
25 a 29,478,438,36,4,H,V,09
30 a 34,438,406,29,3,H,V,09
35 a 39,335,306,28,1,H,V,09
40 a 44,258,231,26,1,H,V,09
45 a 49,203,173,29,1,H,V,09
50 a 54,172,137,34,1,H,V,09
55 a 59,135,105,30,0,H,V,09
60 a 64,99,63,36,0,H,V,09
65 y más ,284,149,133,2,H,V,09
Ignorado,32,25,4,3,H,V,09
Total,28493,22027,6309,157,M,V,09
  7 años,5,3,2,0,M,V,09
  8 años,8,6,2,0,M,V,09
  9 años,3,3,0,0,M,V,09
10 años,9,8,1,0,M,V,09
11 años,8,5,2,1,M,V,09
12 años,28,26,2,0,M,V,09
13 años,45,37,8,0,M,V,09
14 años,104,89,15,0,M,V,09
15 a 19,2629,2190,426,13,M,V,09
20 a 24,5587,4698,867,22,M,V,09
25 a 29,5712,4727,961,24,M,V,09
30 a 34,4716,3728,966,22,M,V,09
35 a 39,3481,2617,844,20,M,V,09
40 a 44,2214,1592,610,12,M,V,09
45 a 49,1479,960,510,9,M,V,09
50 a 54,867,522,342,3,M,V,09
55 a 59,486,260,224,2,M,V,09
60 a 64,322,150,171,1,M,V,09
65 y más ,473,186,282,5,M,V,09
Ignorado,317,220,74,23,M,V,09
10 a 14,10,7,0,3,H,A,09
15 a 19,767,652,103,12,H,A,09
20 a 24,3805,3375,408,22,H,A,09
25 a 29,5380,4783,567,30,H,A,09
30 a 34,4841,4318,493,30,H,A,09
35 a 39,4055,3532,501,22,H,A,09
40 a 44,2767,2353,400,14,H,A,09
45 a 49,1916,1574,327,15,H,A,09
50 a 54,1144,900,238,6,H,A,09
55 a 59,649,474,171,4,H,A,09
60 a 64,383,258,121,4,H,A,09
65 y más,316,206,106,4,H,A,09
Ignorado,1963,1129,388,446,H,A,09
10 a 14,33,28,4,1,M,A,09
15 a 19,225,194,28,3,M,A,09
20 a 24,580,496,78,6,M,A,09
25 a 29,637,552,78,7,M,A,09
30 a 34,517,435,79,3,M,A,09
35 a 39,380,300,77,3,M,A,09
40 a 44,302,223,78,1,M,A,09
45 a 49,238,165,71,2,M,A,09
50 a 54,171,106,64,1,M,A,09
55 a 59,88,43,45,0,M,A,09
60 a 64,69,33,34,2,M,A,09
65 y más,59,31,28,0,M,A,09
Ignorado,202,94,50,58,M,A,09
Total,2830,2422,394,14,H,V,10
  7 años,5,4,1,0,H,V,10
  8 años,6,5,1,0,H,V,10
  9 años,7,6,1,0,H,V,10
10 años,9,8,1,0,H,V,10
11 años,5,5,0,0,H,V,10
12 años,11,11,0,0,H,V,10
13 años,4,3,1,0,H,V,10
14 años,11,10,1,0,H,V,10
15 a 19,145,135,9,1,H,V,10
20 a 24,335,305,27,3,H,V,10
25 a 29,393,365,28,0,H,V,10
30 a 34,400,372,27,1,H,V,10
35 a 39,348,316,31,1,H,V,10
40 a 44,222,200,21,1,H,V,10
45 a 49,217,192,24,1,H,V,10
50 a 54,179,140,39,0,H,V,10
55 a 59,114,90,24,0,H,V,10
60 a 64,121,79,41,1,H,V,10
65 y más ,266,149,114,3,H,V,10
Ignorado,32,27,3,2,H,V,10
Total,29132,22252,6768,112,M,V,10
  7 años,4,2,2,0,M,V,10
  8 años,6,4,2,0,M,V,10
  9 años,7,6,1,0,M,V,10
10 años,5,5,0,0,M,V,10
11 años,10,8,2,0,M,V,10
12 años,13,12,1,0,M,V,10
13 años,45,39,5,1,M,V,10
14 años,111,97,13,1,M,V,10
15 a 19,2834,2362,456,16,M,V,10
20 a 24,5639,4741,888,10,M,V,10
25 a 29,5794,4711,1063,20,M,V,10
30 a 34,5041,3934,1091,16,M,V,10
35 a 39,3478,2549,917,12,M,V,10
40 a 44,2286,1591,688,7,M,V,10
45 a 49,1446,941,501,4,M,V,10
50 a 54,823,464,358,1,M,V,10
55 a 59,498,266,230,2,M,V,10
60 a 64,302,134,166,2,M,V,10
65 y más ,490,187,301,2,M,V,10
Ignorado,300,199,83,18,M,V,10
10 a 14,13,11,2,0,H,A,10
15 a 19,812,714,90,8,H,A,10
20 a 24,3951,3529,398,24,H,A,10
25 a 29,5323,4739,564,20,H,A,10
30 a 34,5096,4514,564,18,H,A,10
35 a 39,4061,3501,546,14,H,A,10
40 a 44,2854,2382,450,22,H,A,10
45 a 49,1898,1504,381,13,H,A,10
50 a 54,1180,919,251,10,H,A,10
55 a 59,680,504,172,4,H,A,10
60 a 64,353,253,96,4,H,A,10
65 y más,384,257,122,5,H,A,10
Ignorado,2061,1233,377,451,H,A,10
10 a 14,14,13,0,1,M,A,10
15 a 19,215,190,22,3,M,A,10
20 a 24,515,438,75,2,M,A,10
25 a 29,545,464,79,2,M,A,10
30 a 34,518,424,89,5,M,A,10
35 a 39,431,337,90,4,M,A,10
40 a 44,285,206,78,1,M,A,10
45 a 49,239,156,81,2,M,A,10
50 a 54,175,105,69,1,M,A,10
55 a 59,94,46,46,2,M,A,10
