Grupo de Edad,Año,Total VI Victima,Total VI Agresor,VI Victima Hombre,VI Victima Mujer,VI Agresor Hombre,VI Agresor Mujer,VI Urbano,VI Rural,VI Victima Ninguno,VI Agresor Ninguno,VI Victima Primaria,VI Agresor Primaria,VI Victima Básico,VI Agresor Básico,VI Victima Diversificado,VI Agresor Diversificado,VI Victima Universitario,VI Agresor Universitario,VI Victima Alfabeta,VI Agresor Alfabeta,VI Victima Analfabeta,VI Agresor Analfabeta,Total Nacimientos,N Soltero Madre,N Soltero Padre,N Casado Madre,N Casado Padre,N Unido Madre,N Unido Padre,N Ignorado Madre,N Ignorado Padre,Ocupaciones militares,Directores y gerentes,Profesionales científicos e intelectuales,Técnicos y profesionales de nivel medio,Personal de apoyo administrativo,Trabajadores de los servicios y vendedores de comercios y mercados,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",Operadores de instalaciones y máquinas y ensambladores,Ocupaciones elementales,Ocupación no  especificada,Promedio de Hijos
14 o menos,9,251.0,0.0,27.0,194,10.0,33,134,114.0,42.0,0.0,169.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,214.0,0.0,36.0,0.0,2434,807,53,1617,0,7,0,3,0,0,0,0,0,2,18,2,3,0,2176,1.0,1.04
15-19,9,2748.0,992.0,119.0,2629,767.0,225,1809,1622.0,469.0,148.0,1370.0,528.0,605.0,207.0,256.0,76.0,7.0,2.0,2303.0,846.0,432.0,131.0,61066,16617,5360,44084,13095,243,94,122,34,0,5,345,214,380,657,22,211,186,55917,36.0,1.25
20-24,9,5955.0,4385.0,368.0,5587,3805.0,580,5450,3936.0,1019.0,568.0,2642.0,2123.0,1025.0,903.0,1053.0,647.0,112.0,47.0,5034.0,3871.0,897.0,486.0,99986,41138,30544,58188,43152,505,339,155,136,1,35,3214,942,2527,1496,42,657,728,89974,225.0,1.94
25-29,9,6190.0,6017.0,478.0,5712,5380.0,637,6664,4334.0,1109.0,776.0,2653.0,2825.0,982.0,1106.0,1183.0,1083.0,161.0,103.0,5165.0,5335.0,997.0,645.0,80814,42002,41852,38192,36321,470,434,150,101,2,119,3197,837,3371,1338,32,680,969,69989,191.0,3.0
30-34,9,5154.0,5358.0,438.0,4716,4841.0,517,5732,3731.0,1107.0,693.0,2244.0,2550.0,645.0,868.0,902.0,991.0,172.0,147.0,4134.0,4753.0,995.0,572.0,53963,30893,35548,22519,22648,450,415,101,93,0,140,2376,431,2136,900,26,549,698,46550,101.0,4.25
35-39,9,3816.0,4435.0,335.0,3481,4055.0,380,4346,3087.0,964.0,685.0,1683.0,2116.0,421.0,676.0,561.0,714.0,118.0,162.0,2923.0,3832.0,872.0,578.0,29748,17993,23647,11422,12683,270,342,63,71,1,67,1000,154,671,411,12,237,339,26781,42.0,5.74
40-44,9,2472.0,3069.0,258.0,2214,2767.0,302,2950,2040.0,713.0,559.0,1068.0,1542.0,227.0,374.0,342.0,446.0,77.0,92.0,1823.0,2576.0,636.0,478.0,10415,6557,13267,3693,6725,136,227,29,42,0,11,225,45,150,104,5,68,142,9640,8.0,7.02
45-50,9,1682.0,2154.0,203.0,1479,1916.0,238,1930,1525.0,586.0,455.0,671.0,1047.0,135.0,254.0,202.0,261.0,57.0,74.0,1133.0,1739.0,539.0,398.0,1396,816,6128,471,3453,24,123,7,18,0,1,23,1,14,13,2,5,26,1229,2.0,7.1
Más de 50,9,2838.0,2879.0,3744.0,31012,32451.0,4090,37141,26875.0,1336.0,925.0,1019.0,1371.0,161.0,178.0,221.0,255.0,62.0,88.0,1572.0,2051.0,1252.0,807.0,286,219,4040,129,2855,15,91,1,16,0,0,14,0,6,2,2,5,8,327,0.0,6.59
14 o menos,10,259.0,0.0,40.0,184,13.0,14,109,120.0,36.0,0.0,170.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,225.0,0.0,32.0,0.0,2671,2388,61,275,2,4,0,4,0,0,0,0,0,1,6,0,1,0,2213,0.0,1.07
15-19,10,2979.0,1027.0,145.0,2834,812.0,215,1864,1796.0,522.0,141.0,1437.0,498.0,682.0,248.0,276.0,109.0,7.0,3.0,2497.0,904.0,465.0,112.0,69823,52471,15777,17232,5139,65,24,55,10,0,6,341,388,464,474,43,207,194,62137,95.0,1.27
20-24,10,5974.0,4466.0,335.0,5639,3951.0,515,5322,4192.0,1039.0,583.0,2592.0,2086.0,1024.0,942.0,1131.0,693.0,84.0,60.0,5046.0,3967.0,915.0,473.0,105938,64734,48508,40877,29963,225,112,102,72,4,24,3901,1649,3008,1425,47,631,681,93811,273.0,1.93
25-29,10,6187.0,5868.0,393.0,5794,5323.0,545,6296,4654.0,1216.0,784.0,2470.0,2662.0,951.0,1069.0,1278.0,1123.0,183.0,126.0,5076.0,5203.0,1091.0,643.0,84066,42012,39955,41639,41271,323,240,92,73,1,39,4210,1186,3454,1320,45,643,777,71827,242.0,2.95
30-34,10,5441.0,5614.0,400.0,5041,5096.0,518,5898,4160.0,1223.0,807.0,2249.0,2590.0,682.0,913.0,1014.0,1037.0,201.0,152.0,4306.0,4938.0,1118.0,653.0,56899,24816,25764,31640,36895,377,317,66,68,1,43,2888,635,2395,921,28,477,611,48546,152.0,4.18
35-39,10,3826.0,4492.0,348.0,3478,4061.0,431,4317,3210.0,1036.0,752.0,1565.0,2128.0,417.0,664.0,619.0,715.0,124.0,134.0,2865.0,3838.0,948.0,636.0,30417,12381,13895,17721,23755,277,283,38,41,0,18,1251,253,764,420,16,250,353,26934,47.0,5.63
40-44,10,2508.0,3139.0,222.0,2286,2854.0,285,2920,2196.0,783.0,621.0,1003.0,1472.0,247.0,394.0,357.0,469.0,82.0,108.0,1791.0,2588.0,709.0,528.0,10212,3837,7311,6262,13030,99,216,14,27,0,3,276,38,119,95,9,53,121,9450,16.0,6.91
45-50,10,1663.0,2137.0,217.0,1446,1898.0,239,1973,1469.0,567.0,540.0,671.0,975.0,135.0,214.0,223.0,283.0,44.0,79.0,1133.0,1660.0,525.0,462.0,1327,505,3654,718,5750,21,114,5,7,0,0,25,7,12,13,2,6,29,1149,1.0,6.88
Más de 50,10,2793.0,2978.0,3616.0,31616,33324.0,3940,37009,28415.0,1370.0,963.0,929.0,1280.0,152.0,234.0,240.0,311.0,61.0,99.0,1509.0,2127.0,1273.0,824.0,270,147,3151,191,3750,10,92,0,9,0,0,2,3,1,3,2,3,12,321,0.0,7.01
14 o menos,11,251.0,0.0,40.0,183,17.0,22,130,114.0,36.0,0.0,148.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,29.0,0.0,2841,2500,69,335,3,1,0,5,0,0,0,0,3,1,20,89,9,3,2471,3.0,1.1
15-19,11,3070.0,1186.0,135.0,2935,959.0,227,2116,1903.0,479.0,166.0,1477.0,581.0,697.0,308.0,335.0,102.0,14.0,4.0,2631.0,1037.0,421.0,139.0,75175,56183,17563,18920,5783,32,3,40,4,4,0,298,480,580,837,1308,327,217,68689,87.0,1.29
20-24,11,6213.0,4808.0,315.0,5898,4272.0,536,5768,4607.0,1012.0,578.0,2647.0,2200.0,1081.0,981.0,1221.0,894.0,116.0,57.0,5277.0,4309.0,906.0,463.0,108949,66825,51205,41948,31608,130,60,46,25,2,89,4152,2346,3884,1804,141,578,786,94340,316.0,1.92
25-29,11,6261.0,5897.0,400.0,5861,5375.0,522,6659,4692.0,1209.0,762.0,2639.0,2709.0,896.0,1095.0,1204.0,1097.0,195.0,120.0,5157.0,5209.0,1075.0,647.0,85914,43035,41481,42529,42109,288,165,62,31,3,184,4865,1584,3708,1822,97,580,779,71451,281.0,2.91
30-34,11,5599.0,5978.0,397.0,5202,5418.0,560,6338,4496.0,1251.0,850.0,2345.0,2787.0,683.0,992.0,992.0,1076.0,232.0,150.0,4475.0,5250.0,1102.0,705.0,58050,25248,26446,32393,38144,381,330,28,32,3,221,2893,816,2721,1267,71,373,553,48530,168.0,4.09
35-39,11,4121.0,4709.0,331.0,3790,4278.0,431,4659,3588.0,1056.0,719.0,1712.0,2270.0,443.0,665.0,670.0,787.0,167.0,144.0,3161.0,4064.0,941.0,606.0,30892,12332,14362,18189,24684,351,342,20,24,0,102,1267,283,920,686,48,170,245,26893,79.0,5.55
40-44,11,2600.0,3229.0,261.0,2339,2887.0,342,3180,2310.0,776.0,568.0,1088.0,1601.0,252.0,389.0,342.0,484.0,84.0,130.0,1874.0,2738.0,710.0,478.0,10220,3958,7175,6141,13156,117,253,4,17,0,12,263,66,146,188,13,49,70,9347,11.0,6.88
45-50,11,1768.0,2286.0,223.0,1545,2020.0,266,2054,1727.0,597.0,526.0,729.0,1084.0,140.0,219.0,202.0,305.0,64.0,87.0,1205.0,1818.0,551.0,451.0,1242,463,3552,695,5695,18,114,0,5,0,1,25,11,16,27,3,1,5,1081,1.0,7.01
Más de 50,11,3105.0,3183.0,3710.0,33403,34654.0,4182,39784,30915.0,1463.0,1016.0,1101.0,1384.0,142.0,258.0,264.0,340.0,80.0,107.0,1729.0,2267.0,1355.0,888.0,224,120,3141,158,3712,12,83,0,5,0,0,4,0,3,9,0,1,3,268,0.0,6.3
14 o menos,12,289.0,0.0,30.0,212,12.0,16,112,151.0,41.0,0.0,176.0,0.0,58.0,0.0,2.0,0.0,0.0,0.0,243.0,0.0,39.0,0.0,3014,2613,62,397,4,1,0,3,0,0,0,0,1,0,13,1,4,1,2684,1.0,1.15
15-19,12,3373.0,1226.0,134.0,3239,1021.0,205,2208,2195.0,563.0,155.0,1618.0,600.0,771.0,315.0,339.0,126.0,11.0,1.0,2868.0,1092.0,482.0,123.0,81661,60424,18722,21185,6787,24,3,28,2,1,10,470,553,585,645,29,237,178,74882,70.0,1.32
20-24,12,6825.0,5251.0,323.0,6502,4712.0,539,6354,5156.0,1032.0,628.0,2825.0,2335.0,1309.0,1211.0,1423.0,917.0,126.0,58.0,5901.0,4709.0,893.0,512.0,113484,70099,53879,43232,33620,125,48,28,16,2,66,4384,2747,4298,1972,39,574,678,98160,262.0,1.92
25-29,12,6823.0,6564.0,388.0,6435,5980.0,584,7266,5492.0,1199.0,916.0,2833.0,2887.0,1042.0,1226.0,1390.0,1274.0,220.0,127.0,5740.0,5795.0,1045.0,736.0,87530,44334,42319,42862,42749,307,189,27,29,3,177,6121,1899,4084,1821,28,622,822,71498,183.0,2.89
30-34,12,6081.0,6573.0,396.0,5685,5987.0,586,7035,5003.0,1334.0,897.0,2488.0,3004.0,775.0,1104.0,1156.0,1232.0,250.0,198.0,4888.0,5805.0,1165.0,738.0,59982,26487,26923,33022,38591,451,360,22,24,3,215,3728,979,2992,1278,19,460,641,49376,110.0,4.02
35-39,12,4402.0,5079.0,383.0,4019,4621.0,458,5115,3857.0,1067.0,802.0,1786.0,2405.0,538.0,765.0,782.0,849.0,164.0,162.0,3436.0,4417.0,945.0,641.0,31268,12625,14834,18305,25071,326,349,12,8,1,110,1543,348,987,651,13,239,331,26901,60.0,5.45
40-44,12,2795.0,3512.0,289.0,2506,3179.0,333,3440,2574.0,830.0,666.0,1162.0,1657.0,240.0,473.0,405.0,504.0,119.0,114.0,2048.0,2930.0,734.0,556.0,10225,3872,7384,6201,13338,150,266,2,12,1,21,274,74,161,166,6,90,74,9323,13.0,6.8
45-50,12,1774.0,2363.0,223.0,1551,2116.0,247,2243,1700.0,590.0,543.0,748.0,1104.0,152.0,250.0,192.0,331.0,62.0,89.0,1232.0,1891.0,525.0,461.0,1146,408,3507,656,5614,20,134,0,6,0,1,27,10,12,18,0,7,14,991,0.0,7.02
Más de 50,12,2356.0,2810.0,3768.0,36131,37336.0,4282,43175,34168.0,962.0,795.0,898.0,1310.0,162.0,229.0,233.0,303.0,66.0,105.0,1466.0,2101.0,875.0,689.0,181,117,3313,124,3622,2,90,0,3,0,0,5,2,4,3,0,1,5,222,0.0,6.36
14 o menos,13,0.0,0.0,39.0,241,20.0,14,139,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914,1802,30,109,0,0,0,3,0,0,0,0,0,1,8,2,2,1,0,,1.04
15-19,13,3420.0,1352.0,144.0,3276,1121.0,231,2301,2216.0,508.0,151.0,1664.0,680.0,815.0,336.0,327.0,119.0,9.0,4.0,2982.0,1206.0,419.0,124.0,72317,55729,15524,16554,4265,6,0,28,0,0,5,403,353,385,587,39,180,168,27,,1.23
20-24,13,6780.0,5390.0,371.0,6409,4786.0,604,6477,4957.0,951.0,628.0,2849.0,2456.0,1232.0,1158.0,1365.0,916.0,147.0,65.0,5934.0,4827.0,814.0,513.0,114365,72067,53168,42242,30639,45,10,11,4,3,61,3498,2727,3960,2082,48,536,636,122,,1.83
25-29,13,6816.0,6495.0,422.0,6394,5853.0,642,7413,5161.0,1132.0,799.0,2812.0,2778.0,952.0,1165.0,1481.0,1377.0,214.0,135.0,5782.0,5771.0,999.0,658.0,89052,45418,41842,43422,42279,202,91,10,6,2,166,6726,2422,4465,2093,31,544,730,134,,2.71
30-34,13,6056.0,6444.0,480.0,5576,5843.0,601,7015,4787.0,1279.0,880.0,2495.0,2898.0,749.0,1077.0,1139.0,1174.0,228.0,171.0,4910.0,5644.0,1131.0,735.0,61707,26894,27326,34439,38920,362,244,12,4,1,270,4488,1244,3108,1568,33,426,602,104,,3.78
35-39,13,4287.0,5136.0,370.0,3917,4628.0,508,5167,3706.0,1033.0,847.0,1809.0,2316.0,472.0,748.0,686.0,879.0,172.0,181.0,3335.0,4393.0,924.0,704.0,34271,14025,15813,19891,26935,348,337,7,6,0,184,1953,455,1354,837,13,242,299,44,,5.08
40-44,13,2913.0,3398.0,289.0,2624,3028.0,370,3370,2587.0,872.0,623.0,1224.0,1637.0,259.0,429.0,397.0,472.0,86.0,102.0,2101.0,2841.0,791.0,530.0,12105,4576,7942,7369,14613,158,268,2,1,1,28,445,87,221,220,7,68,80,23,,6.54
45-50,13,1789.0,2400.0,238.0,1551,2081.0,319,2165,1785.0,617.0,549.0,732.0,1144.0,153.0,264.0,178.0,283.0,63.0,61.0,1220.0,1884.0,561.0,479.0,1301,458,3617,767,6230,29,135,0,1,0,1,28,7,13,22,1,4,6,3,,7.21
Más de 50,13,2477.0,2853.0,4151.0,35848,36940.0,4751,43413,33325.0,987.0,842.0,965.0,1303.0,142.0,223.0,256.0,289.0,61.0,96.0,1555.0,2077.0,906.0,750.0,152,96,3331,96,3963,7,105,0,0,0,1,7,2,1,3,0,0,1,1,,6.32
14 o menos,14,0.0,0.0,51.0,253,17.0,16,168,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2243,2083,52,159,1,0,0,1,0,0,0,0,0,0,7,1,1,1,1,,1.02
15-19,14,3316.0,1273.0,130.0,3186,1033.0,240,2274,2208.0,441.0,156.0,1571.0,629.0,851.0,321.0,348.0,124.0,16.0,3.0,2913.0,1119.0,389.0,138.0,74975,58324,16147,16633,4491,9,1,9,2,0,0,531,416,402,587,29,147,151,57,,1.24
20-24,14,6275.0,5167.0,357.0,5918,4576.0,591,6251,4864.0,904.0,562.0,2547.0,2239.0,1225.0,1159.0,1312.0,977.0,117.0,64.0,5447.0,4646.0,798.0,469.0,115036,72386,53578,42598,31334,43,18,9,4,2,4,3198,2579,3758,1964,61,503,562,182,,1.87
25-29,14,6367.0,6084.0,447.0,5920,5450.0,634,7143,4944.0,1043.0,733.0,2560.0,2481.0,1004.0,1190.0,1428.0,1359.0,174.0,117.0,5378.0,5396.0,951.0,630.0,88153,44913,41448,43048,42250,189,84,3,7,3,54,6557,2410,4440,2101,42,422,769,181,,2.74
30-34,14,5648.0,6092.0,439.0,5209,5465.0,627,6834,4578.0,1131.0,844.0,2275.0,2655.0,753.0,1042.0,1150.0,1189.0,201.0,173.0,4616.0,5330.0,1008.0,708.0,60723,26765,26396,33606,38009,346,230,6,2,4,70,4754,1255,3020,1504,29,338,569,119,,3.81
35-39,14,4166.0,4939.0,382.0,3784,4389.0,550,5168,3709.0,980.0,738.0,1718.0,2313.0,513.0,762.0,695.0,854.0,161.0,144.0,3287.0,4283.0,858.0,617.0,33169,13351,15024,19470,26309,344,287,4,4,1,29,1937,449,1238,790,14,226,266,57,,5.15
