Grupo de Edad,Año,Total VI Victima,Total VI Agresor
14 o menos,9,251.0,0.0
15-19,9,2748.0,992.0
20-24,9,5955.0,4385.0
25-29,9,6190.0,6017.0
30-34,9,5154.0,5358.0
35-39,9,3816.0,4435.0
40-44,9,2472.0,3069.0
45-50,9,1682.0,2154.0
Más de 50,9,2838.0,2879.0
14 o menos,10,259.0,0.0
15-19,10,2979.0,1027.0
20-24,10,5974.0,4466.0
25-29,10,6187.0,5868.0
30-34,10,5441.0,5614.0
35-39,10,3826.0,4492.0
40-44,10,2508.0,3139.0
45-50,10,1663.0,2137.0
Más de 50,10,2793.0,2978.0
14 o menos,11,251.0,0.0
15-19,11,3070.0,1186.0
20-24,11,6213.0,4808.0
25-29,11,6261.0,5897.0
30-34,11,5599.0,5978.0
35-39,11,4121.0,4709.0
40-44,11,2600.0,3229.0
45-50,11,1768.0,2286.0
Más de 50,11,3105.0,3183.0
14 o menos,12,289.0,0.0
15-19,12,3373.0,1226.0
20-24,12,6825.0,5251.0
25-29,12,6823.0,6564.0
30-34,12,6081.0,6573.0
35-39,12,4402.0,5079.0
40-44,12,2795.0,3512.0
45-50,12,1774.0,2363.0
Más de 50,12,2356.0,2810.0
14 o menos,13,0.0,0.0
15-19,13,3420.0,1352.0
20-24,13,6780.0,5390.0
25-29,13,6816.0,6495.0
30-34,13,6056.0,6444.0
35-39,13,4287.0,5136.0
40-44,13,2913.0,3398.0
45-50,13,1789.0,2400.0
Más de 50,13,2477.0,2853.0
14 o menos,14,0.0,0.0
15-19,14,3316.0,1273.0
20-24,14,6275.0,5167.0
25-29,14,6367.0,6084.0
30-34,14,5648.0,6092.0
35-39,14,4166.0,4939.0
40-44,14,2747.0,3191.0
45-50,14,1721.0,2243.0
Más de 50,14,2377.0,2764.0
14 o menos,15,0.0,0.0
15-19,15,2895.0,1242.0
20-24,15,5998.0,4874.0
25-29,15,5972.0,5918.0
30-34,15,5162.0,5601.0
35-39,15,3985.0,4670.0
40-44,15,2505.0,3133.0
45-50,15,1539.0,2060.0
Más de 50,15,2255.0,2562.0
14 o menos,16,0.0,0.0
15-19,16,2717.0,1093.0
20-24,16,5716.0,4543.0
25-29,16,5887.0,5729.0
30-34,16,5048.0,5453.0
35-39,16,3821.0,4630.0
40-44,16,2503.0,2927.0
45-50,16,1543.0,1962.0
Más de 50,16,2251.0,2484.0
14 o menos,17,0.0,0.0
15-19,17,2369.0,1074.0
20-24,17,5677.0,4534.0
25-29,17,5714.0,5624.0
30-34,17,4687.0,5060.0
35-39,17,3873.0,4568.0
40-44,17,2490.0,2989.0
45-50,17,1676.0,1963.0
Más de 50,17,2189.0,2447.0
14 o menos,18,0.0,0.0
15-19,18,2286.0,1046.0
20-24,18,5623.0,4378.0
25-29,18,5517.0,5511.0
30-34,18,4727.0,5079.0
35-39,18,3762.0,4226.0
40-44,18,2550.0,3001.0
45-50,18,1518.0,1909.0
Más de 50,18,2367.0,2332.0
14 o menos,19,0.0,0.0
15-19,19,2281.0,1051.0
20-24,19,5720.0,4573.0
25-29,19,5944.0,5728.0
30-34,19,5029.0,5303.0
35-39,19,4030.0,4744.0
40-44,19,2847.0,3254.0
45-50,19,1707.0,2171.0
Más de 50,19,2488.0,2572.0
14 o menos,20,0.0,0.0
15-19,20,1899.0,777.0
20-24,20,4933.0,3964.0
25-29,20,5220.0,5091.0
30-34,20,4649.0,4869.0
35-39,20,3550.0,4080.0
40-44,20,2460.0,2851.0
45-50,20,1600.0,1965.0
Más de 50,20,2369.0,2315.0
14 o menos,21,0.0,0.0
15-19,21,2045.0,878.0
20-24,21,5935.0,4594.0
25-29,21,6608.0,6122.0
30-34,21,5887.0,6212.0
35-39,21,4684.0,5340.0
40-44,21,3503.0,4105.0
45-50,21,2152.0,2613.0
Más de 50,21,3213.0,3321.0
