Grupos de Edad,Año,VI Victima Alfabeta,VI Agresor Alfabeta,VI Victima Analfabeta,VI Agresor Analfabeta
14 o menos,9,214.0,0.0,36.0,0.0
15-19,9,2303.0,846.0,432.0,131.0
20-24,9,5034.0,3871.0,897.0,486.0
25-29,9,5165.0,5335.0,997.0,645.0
30-34,9,4134.0,4753.0,995.0,572.0
35-39,9,2923.0,3832.0,872.0,578.0
40-44,9,1823.0,2576.0,636.0,478.0
45-50,9,1133.0,1739.0,539.0,398.0
Más de 50,9,1572.0,2051.0,1252.0,807.0
14 o menos,10,225.0,0.0,32.0,0.0
15-19,10,2497.0,904.0,465.0,112.0
20-24,10,5046.0,3967.0,915.0,473.0
25-29,10,5076.0,5203.0,1091.0,643.0
30-34,10,4306.0,4938.0,1118.0,653.0
35-39,10,2865.0,3838.0,948.0,636.0
40-44,10,1791.0,2588.0,709.0,528.0
45-50,10,1133.0,1660.0,525.0,462.0
Más de 50,10,1509.0,2127.0,1273.0,824.0
14 o menos,11,219.0,0.0,29.0,0.0
15-19,11,2631.0,1037.0,421.0,139.0
20-24,11,5277.0,4309.0,906.0,463.0
25-29,11,5157.0,5209.0,1075.0,647.0
30-34,11,4475.0,5250.0,1102.0,705.0
35-39,11,3161.0,4064.0,941.0,606.0
40-44,11,1874.0,2738.0,710.0,478.0
45-50,11,1205.0,1818.0,551.0,451.0
Más de 50,11,1729.0,2267.0,1355.0,888.0
14 o menos,12,243.0,0.0,39.0,0.0
15-19,12,2868.0,1092.0,482.0,123.0
20-24,12,5901.0,4709.0,893.0,512.0
25-29,12,5740.0,5795.0,1045.0,736.0
30-34,12,4888.0,5805.0,1165.0,738.0
35-39,12,3436.0,4417.0,945.0,641.0
40-44,12,2048.0,2930.0,734.0,556.0
45-50,12,1232.0,1891.0,525.0,461.0
Más de 50,12,1466.0,2101.0,875.0,689.0
14 o menos,13,0.0,0.0,0.0,0.0
15-19,13,2982.0,1206.0,419.0,124.0
20-24,13,5934.0,4827.0,814.0,513.0
25-29,13,5782.0,5771.0,999.0,658.0
30-34,13,4910.0,5644.0,1131.0,735.0
35-39,13,3335.0,4393.0,924.0,704.0
40-44,13,2101.0,2841.0,791.0,530.0
45-50,13,1220.0,1884.0,561.0,479.0
Más de 50,13,1555.0,2077.0,906.0,750.0
14 o menos,14,0.0,0.0,0.0,0.0
15-19,14,2913.0,1119.0,389.0,138.0
20-24,14,5447.0,4646.0,798.0,469.0
25-29,14,5378.0,5396.0,951.0,630.0
30-34,14,4616.0,5330.0,1008.0,708.0
35-39,14,3287.0,4283.0,858.0,617.0
40-44,14,2027.0,2656.0,708.0,507.0
45-50,14,1183.0,1822.0,525.0,399.0
Más de 50,14,1415.0,1981.0,949.0,751.0
14 o menos,15,0.0,0.0,0.0,0.0
15-19,15,2554.0,1113.0,333.0,123.0
20-24,15,5343.0,4409.0,639.0,435.0
25-29,15,5169.0,5336.0,786.0,544.0
30-34,15,4287.0,4990.0,863.0,573.0
35-39,15,3155.0,4068.0,812.0,574.0
40-44,15,1885.0,2615.0,609.0,502.0
45-50,15,1102.0,1647.0,434.0,399.0
Más de 50,15,1461.0,1908.0,780.0,638.0
14 o menos,16,0.0,0.0,0.0,0.0
15-19,16,2410.0,984.0,290.0,96.0
20-24,16,5140.0,4139.0,552.0,354.0
25-29,16,5153.0,5201.0,714.0,477.0
30-34,16,4270.0,4874.0,756.0,520.0
35-39,16,3077.0,4017.0,729.0,565.0
40-44,16,1898.0,2478.0,592.0,409.0
45-50,16,1108.0,1607.0,425.0,328.0
Más de 50,16,1463.0,1873.0,773.0,581.0
14 o menos,17,0.0,0.0,0.0,0.0
15-19,17,2132.0,980.0,230.0,89.0
20-24,17,5126.0,4154.0,538.0,342.0
25-29,17,5045.0,5106.0,650.0,477.0
30-34,17,3970.0,4549.0,702.0,479.0
35-39,17,3168.0,3996.0,681.0,539.0
40-44,17,1921.0,2552.0,553.0,412.0
45-50,17,1193.0,1618.0,474.0,330.0
Más de 50,17,1435.0,1840.0,734.0,589.0
14 o menos,18,0.0,0.0,0.0,0.0
15-19,18,2054.0,957.0,217.0,79.0
20-24,18,5089.0,4016.0,507.0,316.0
25-29,18,4959.0,5075.0,534.0,390.0
30-34,18,4108.0,4559.0,582.0,465.0
35-39,18,3073.0,3744.0,665.0,445.0
40-44,18,1964.0,2583.0,560.0,389.0
45-50,18,1122.0,1583.0,382.0,311.0
Más de 50,18,1610.0,1793.0,731.0,514.0
14 o menos,19,0.0,0.0,0.0,0.0
15-19,19,2062.0,956.0,205.0,87.0
20-24,19,5264.0,4223.0,440.0,297.0
25-29,19,5345.0,5324.0,575.0,362.0
30-34,19,4439.0,4861.0,570.0,404.0
35-39,19,3371.0,4190.0,638.0,512.0
40-44,19,2272.0,2762.0,566.0,460.0
45-50,19,1290.0,1803.0,411.0,349.0
Más de 50,19,1699.0,1997.0,773.0,557.0
14 o menos,20,0.0,0.0,0.0,0.0
15-19,20,1713.0,709.0,174.0,57.0
20-24,20,4480.0,3637.0,434.0,287.0
25-29,20,4737.0,4696.0,466.0,354.0
30-34,20,4067.0,4410.0,562.0,418.0
35-39,20,2944.0,3626.0,599.0,412.0
40-44,20,1931.0,2420.0,520.0,402.0
45-50,20,1186.0,1650.0,399.0,303.0
Más de 50,20,1638.0,1791.0,706.0,491.0
14 o menos,21,0.0,0.0,0.0,0.0
15-19,21,1831.0,790.0,197.0,72.0
20-24,21,5470.0,4237.0,441.0,305.0
25-29,21,6058.0,5659.0,513.0,405.0
30-34,21,5199.0,5652.0,662.0,494.0
35-39,21,4037.0,4757.0,627.0,533.0
40-44,21,2823.0,3566.0,669.0,504.0
45-50,21,1688.0,2250.0,455.0,338.0
Más de 50,21,2302.0,2665.0,896.0,610.0
