Grupo de Edad,Año,Total Nacimientos
14 o menos,9,2434
15-19,9,61066
20-24,9,99986
25-29,9,80814
30-34,9,53963
35-39,9,29748
40-44,9,10415
45-50,9,1396
Más de 50,9,286
14 o menos,10,2671
15-19,10,69823
20-24,10,105938
25-29,10,84066
30-34,10,56899
35-39,10,30417
40-44,10,10212
45-50,10,1327
Más de 50,10,270
14 o menos,11,2841
15-19,11,75175
20-24,11,108949
25-29,11,85914
30-34,11,58050
35-39,11,30892
40-44,11,10220
45-50,11,1242
Más de 50,11,224
14 o menos,12,3014
15-19,12,81661
20-24,12,113484
25-29,12,87530
30-34,12,59982
35-39,12,31268
40-44,12,10225
45-50,12,1146
Más de 50,12,181
14 o menos,13,1914
15-19,13,72317
20-24,13,114365
25-29,13,89052
30-34,13,61707
35-39,13,34271
40-44,13,12105
45-50,13,1301
Más de 50,13,152
14 o menos,14,2243
15-19,14,74975
20-24,14,115036
25-29,14,88153
30-34,14,60723
35-39,14,33169
40-44,14,10727
45-50,14,954
Más de 50,14,76
14 o menos,15,1856
15-19,15,72905
20-24,15,117960
25-29,15,91124
30-34,15,61758
35-39,15,34161
40-44,15,10643
45-50,15,830
Más de 50,15,68
14 o menos,16,2138
15-19,16,71903
20-24,16,118747
25-29,16,91918
30-34,16,61247
35-39,16,33894
40-44,16,9687
45-50,16,702
Más de 50,16,45
14 o menos,17,2021
15-19,17,72352
20-24,17,116707
25-29,17,88738
30-34,17,58728
35-39,17,32646
40-44,17,9609
45-50,17,712
Más de 50,17,33
14 o menos,18,2004
15-19,18,72615
20-24,18,117125
25-29,18,89425
30-34,18,59125
35-39,18,32409
40-44,18,9744
45-50,18,645
Más de 50,18,32
14 o menos,19,1914
15-19,19,67984
20-24,19,112059
25-29,19,87019
30-34,19,57213
35-39,19,30783
40-44,19,9161
45-50,19,603
Más de 50,19,27
14 o menos,20,1578
15-19,20,60410
20-24,20,105610
25-29,20,82401
30-34,20,53221
35-39,20,28846
40-44,20,8513
45-50,20,528
Más de 50,20,24
14 o menos,21,1805
15-19,21,60731
20-24,21,105003
25-29,21,83683
30-34,21,54809
35-39,21,29583
40-44,21,8840
45-50,21,587
Más de 50,21,26
