Grupo de Edad,Año,N Soltero Madre,N Soltero Padre,N Casado Madre,N Casado Padre,N Unido Madre,N Unido Padre,N Ignorado Madre,N Ignorado Padre
14 o menos,9,807,53,1617,0,7,0,3,0
15-19,9,16617,5360,44084,13095,243,94,122,34
20-24,9,41138,30544,58188,43152,505,339,155,136
25-29,9,42002,41852,38192,36321,470,434,150,101
30-34,9,30893,35548,22519,22648,450,415,101,93
35-39,9,17993,23647,11422,12683,270,342,63,71
40-44,9,6557,13267,3693,6725,136,227,29,42
45-50,9,816,6128,471,3453,24,123,7,18
Más de 50,9,219,4040,129,2855,15,91,1,16
14 o menos,10,2388,61,275,2,4,0,4,0
15-19,10,52471,15777,17232,5139,65,24,55,10
20-24,10,64734,48508,40877,29963,225,112,102,72
25-29,10,42012,39955,41639,41271,323,240,92,73
30-34,10,24816,25764,31640,36895,377,317,66,68
35-39,10,12381,13895,17721,23755,277,283,38,41
40-44,10,3837,7311,6262,13030,99,216,14,27
45-50,10,505,3654,718,5750,21,114,5,7
Más de 50,10,147,3151,191,3750,10,92,0,9
14 o menos,11,2500,69,335,3,1,0,5,0
15-19,11,56183,17563,18920,5783,32,3,40,4
20-24,11,66825,51205,41948,31608,130,60,46,25
25-29,11,43035,41481,42529,42109,288,165,62,31
30-34,11,25248,26446,32393,38144,381,330,28,32
35-39,11,12332,14362,18189,24684,351,342,20,24
40-44,11,3958,7175,6141,13156,117,253,4,17
45-50,11,463,3552,695,5695,18,114,0,5
Más de 50,11,120,3141,158,3712,12,83,0,5
14 o menos,12,2613,62,397,4,1,0,3,0
15-19,12,60424,18722,21185,6787,24,3,28,2
20-24,12,70099,53879,43232,33620,125,48,28,16
25-29,12,44334,42319,42862,42749,307,189,27,29
30-34,12,26487,26923,33022,38591,451,360,22,24
35-39,12,12625,14834,18305,25071,326,349,12,8
40-44,12,3872,7384,6201,13338,150,266,2,12
45-50,12,408,3507,656,5614,20,134,0,6
Más de 50,12,117,3313,124,3622,2,90,0,3
14 o menos,13,1802,30,109,0,0,0,3,0
15-19,13,55729,15524,16554,4265,6,0,28,0
20-24,13,72067,53168,42242,30639,45,10,11,4
25-29,13,45418,41842,43422,42279,202,91,10,6
30-34,13,26894,27326,34439,38920,362,244,12,4
35-39,13,14025,15813,19891,26935,348,337,7,6
40-44,13,4576,7942,7369,14613,158,268,2,1
45-50,13,458,3617,767,6230,29,135,0,1
Más de 50,13,96,3331,96,3963,7,105,0,0
14 o menos,14,2083,52,159,1,0,0,1,0
15-19,14,58324,16147,16633,4491,9,1,9,2
20-24,14,72386,53578,42598,31334,43,18,9,4
25-29,14,44913,41448,43048,42250,189,84,3,7
30-34,14,26765,26396,33606,38009,346,230,6,2
35-39,14,13351,15024,19470,26309,344,287,4,4
40-44,14,4005,7166,6575,13957,145,266,2,2
45-50,14,332,3267,573,5693,15,140,0,0
Más de 50,14,44,2997,65,3672,1,92,0,1
14 o menos,15,1738,36,117,1,0,0,1,0
15-19,15,56426,15480,16466,4231,9,1,4,1
20-24,15,74442,55089,43474,32165,35,13,9,2
25-29,15,46556,42257,44427,43489,129,65,12,2
30-34,15,27410,26843,34081,39004,257,145,10,4
35-39,15,13975,15439,19907,26990,278,271,1,2
40-44,15,4006,7407,6506,13931,129,230,2,1
45-50,15,295,3248,495,5635,14,105,0,0
Más de 50,15,53,2906,37,3667,4,73,0,1
14 o menos,16,2091,44,47,0,0,0,0,0
15-19,16,57965,16074,13920,3364,7,0,11,0
20-24,16,74713,55518,44000,31070,19,17,15,4
25-29,16,47106,43109,44676,43828,123,57,13,5
30-34,16,27256,26932,33740,38298,244,158,7,8
35-39,16,13890,15625,19721,27098,279,244,4,5
40-44,16,3643,7625,5901,13682,142,226,1,4
45-50,16,265,3016,406,5446,11,128,0,2
Más de 50,16,29,2827,35,3508,1,101,0,2
14 o menos,17,2021,20,0,0,0,0,0,0
15-19,17,63940,15867,8399,1599,4,0,9,1
20-24,17,74599,58631,42061,26987,22,20,25,3
25-29,17,45565,42873,43054,41558,98,41,21,17
30-34,17,26508,25857,32051,36698,162,122,7,12
35-39,17,13397,15343,19010,25856,232,195,7,11
40-44,17,3776,7595,5700,13595,132,186,1,3
45-50,17,234,3105,441,5521,12,100,1,4
Más de 50,17,26,2747,31,3556,0,74,0,3
14 o menos,18,2004,22,0,0,0,0,0,0
15-19,18,65379,16109,7218,1420,3,0,15,0
20-24,18,76103,60213,40949,25035,28,7,45,11
25-29,18,46362,44471,42983,41249,47,34,33,25
30-34,18,26590,26056,32369,36352,153,80,13,18
35-39,18,13469,15297,18736,25819,188,187,16,6
40-44,18,3819,7524,5810,13939,114,153,1,6
45-50,18,233,3120,389,5574,11,80,0,3
Más de 50,18,27,2579,16,3554,1,76,0,8
14 o menos,19,1913,14,0,0,0,0,1,0
15-19,19,62004,15449,5895,1195,3,0,82,3
20-24,19,73515,58469,38481,23088,18,8,45,18
25-29,19,44930,43117,42002,39467,57,44,30,25
30-34,19,25844,25130,31201,35044,142,85,26,21
35-39,19,12961,14618,17637,24512,172,151,13,15
40-44,19,3553,7286,5510,13261,94,141,4,8
45-50,19,229,2980,352,5214,12,80,1,6
Más de 50,19,17,2515,18,3384,1,85,0,5
14 o menos,20,1575,19,0,0,0,0,3,0
15-19,20,55750,12734,4621,886,0,0,39,2
20-24,20,71768,56408,33797,18855,12,1,33,12
25-29,20,42978,43114,39353,36263,39,26,31,18
30-34,20,23580,24715,29531,33676,88,50,22,17
35-39,20,12019,13900,16697,23044,120,78,10,13
40-44,20,3325,7167,5104,12961,80,105,4,12
45-50,20,204,2866,313,4854,4,64,0,5
Más de 50,20,11,2268,19,3264,1,55,0,3
