Departamento de residencia,Estado civil,Grupos de edad,Total,Hombres,Mujeres,Anio
Todos los departamentos,Todos los estados civiles,Todas las edades,71707,41354,30353,09
Todos los departamentos,Todos los estados civiles,Menos de 15 años,12855,6989,5866,09
Todos los departamentos,Todos los estados civiles,15 - 24,5374,3975,1399,09
Todos los departamentos,Todos los estados civiles,25 - 44,11606,8391,3215,09
Todos los departamentos,Todos los estados civiles,45 - 64,13796,7798,5998,09
Todos los departamentos,Todos los estados civiles,65 y más,27565,13899,13666,09
Todos los departamentos,Todos los estados civiles,Ignorado,511,302,209,09
Todos los departamentos,Todos los estados civiles,Todas las edades,42692,24490,18202,09
Todos los departamentos,Soltero(a),Menos de 15 años,11277,6137,5140,09
Todos los departamentos,Soltero(a),15 - 24,4830,3638,1192,09
Todos los departamentos,Soltero(a),25 - 44,6991,5194,1797,09
Todos los departamentos,Soltero(a),45 - 64,6093,3429,2664,09
Todos los departamentos,Soltero(a),65 y más,13140,5897,7243,09
Todos los departamentos,Soltero(a),Ignorado,361,195,166,09
Todos los departamentos,Casado(a),Todas las edades,25833,14939,10894,09
Todos los departamentos,Casado(a),Menos de 15 años,11,7,4,09
Todos los departamentos,Casado(a),15 - 24,415,248,167,09
Todos los departamentos,Casado(a),25 - 44,4167,2827,1340,09
Todos los departamentos,Casado(a),45 - 64,7402,4166,3236,09
Todos los departamentos,Casado(a),65 y más,13799,7664,6135,09
Todos los departamentos,Casado(a),Ignorado,39,27,12,09
Todos los departamentos,Unido(a),Todas las edades,603,320,283,09
Todos los departamentos,Unido(a),Menos de 15 años,1,0,1,09
Todos los departamentos,Unido(a),15 - 24,4,2,2,09
Todos los departamentos,Unido(a),25 - 44,71,39,32,09
Todos los departamentos,Unido(a),45 - 64,130,65,65,09
Todos los departamentos,Unido(a),65 y más,395,212,183,09
Todos los departamentos,Unido(a),Ignorado,2,2,0,09
Todos los departamentos,Ignorado(a),Todas las edades,2579,1605,974,09
Todos los departamentos,Ignorado(a),Menos de 15 años,1566,845,721,09
Todos los departamentos,Ignorado(a),15 - 24,125,87,38,09
Todos los departamentos,Ignorado(a),25 - 44,377,331,46,09
Todos los departamentos,Ignorado(a),45 - 64,171,138,33,09
Todos los departamentos,Ignorado(a),65 y más,231,126,105,09
Todos los departamentos,Ignorado(a),Ignorado,109,78,31,09
Guatemala,Todos los estados civiles,Todas las edades,16887,9705,7182,09
Guatemala,Todos los estados civiles,Menos de 15 años,2404,1342,1062,09
Guatemala,Todos los estados civiles,15 - 24,1569,1286,283,09
Guatemala,Todos los estados civiles,25 - 44,2699,2075,624,09
Guatemala,Todos los estados civiles,45 - 64,3317,1794,1523,09
Guatemala,Todos los estados civiles,65 y más,6849,3177,3672,09
Guatemala,Todos los estados civiles,Ignorado,49,31,18,09
Guatemala,Todos los estados civiles,Todas las edades,9544,5555,3989,09
Guatemala,Soltero(a),Menos de 15 años,2000,1121,879,09
Guatemala,Soltero(a),15 - 24,1456,1204,252,09
Guatemala,Soltero(a),25 - 44,1712,1347,365,09
Guatemala,Soltero(a),45 - 64,1518,800,718,09
Guatemala,Soltero(a),65 y más,2823,1065,1758,09
Guatemala,Soltero(a),Ignorado,35,18,17,09
Guatemala,Casado(a),Todas las edades,6736,3790,2946,09
Guatemala,Casado(a),Menos de 15 años,2,1,1,09
Guatemala,Casado(a),15 - 24,88,62,26,09
Guatemala,Casado(a),25 - 44,927,675,252,09
Guatemala,Casado(a),45 - 64,1773,981,792,09
Guatemala,Casado(a),65 y más,3944,2069,1875,09
Guatemala,Casado(a),Ignorado,2,2,0,09
Guatemala,Unido(a),Todas las edades,45,30,15,09
Guatemala,Unido(a),Menos de 15 años,0,0,0,09
Guatemala,Unido(a),15 - 24,0,0,0,09
Guatemala,Unido(a),25 - 44,5,2,3,09
Guatemala,Unido(a),45 - 64,3,2,1,09
Guatemala,Unido(a),65 y más,37,26,11,09
Guatemala,Unido(a),Ignorado,0,0,0,09
Guatemala,Ignorado(a),Todas las edades,562,330,232,09
Guatemala,Ignorado(a),Menos de 15 años,402,220,182,09
Guatemala,Ignorado(a),15 - 24,25,20,5,09
Guatemala,Ignorado(a),25 - 44,55,51,4,09
Guatemala,Ignorado(a),45 - 64,23,11,12,09
Guatemala,Ignorado(a),65 y más,45,17,28,09
Guatemala,Ignorado(a),Ignorado,12,11,1,09
El Progreso,Todos los estados civiles,Todas las edades,1028,590,438,09
El Progreso,Todos los estados civiles,Menos de 15 años,119,64,55,09
El Progreso,Todos los estados civiles,15 - 24,66,48,18,09
El Progreso,Todos los estados civiles,25 - 44,174,129,45,09
El Progreso,Todos los estados civiles,45 - 64,189,104,85,09
El Progreso,Todos los estados civiles,65 y más,479,244,235,09
El Progreso,Todos los estados civiles,Ignorado,1,1,0,09
El Progreso,Todos los estados civiles,Todas las edades,579,325,254,09
El Progreso,Soltero(a),Menos de 15 años,93,50,43,09
El Progreso,Soltero(a),15 - 24,65,47,18,09
El Progreso,Soltero(a),25 - 44,115,87,28,09
El Progreso,Soltero(a),45 - 64,89,51,38,09
El Progreso,Soltero(a),65 y más,217,90,127,09
El Progreso,Soltero(a),Ignorado,0,0,0,09
El Progreso,Casado(a),Todas las edades,401,232,169,09
El Progreso,Casado(a),Menos de 15 años,0,0,0,09
El Progreso,Casado(a),15 - 24,0,0,0,09
El Progreso,Casado(a),25 - 44,57,40,17,09
El Progreso,Casado(a),45 - 64,99,53,46,09
El Progreso,Casado(a),65 y más,244,138,106,09
El Progreso,Casado(a),Ignorado,1,1,0,09
El Progreso,Unido(a),Todas las edades,13,10,3,09
El Progreso,Unido(a),Menos de 15 años,0,0,0,09
El Progreso,Unido(a),15 - 24,0,0,0,09
El Progreso,Unido(a),25 - 44,0,0,0,09
El Progreso,Unido(a),45 - 64,1,0,1,09
El Progreso,Unido(a),65 y más,12,10,2,09
El Progreso,Unido(a),Ignorado,0,0,0,09
El Progreso,Ignorado(a),Todas las edades,35,23,12,09
El Progreso,Ignorado(a),Menos de 15 años,26,14,12,09
El Progreso,Ignorado(a),15 - 24,1,1,0,09
El Progreso,Ignorado(a),25 - 44,2,2,0,09
El Progreso,Ignorado(a),45 - 64,0,0,0,09
El Progreso,Ignorado(a),65 y más,6,6,0,09
El Progreso,Ignorado(a),Ignorado,0,0,0,09
Sacatepéquez,Todos los estados civiles,Todas las edades,1537,847,690,09
Sacatepéquez,Todos los estados civiles,Menos de 15 años,201,110,91,09
Sacatepéquez,Todos los estados civiles,15 - 24,98,70,28,09
Sacatepéquez,Todos los estados civiles,25 - 44,218,165,53,09
Sacatepéquez,Todos los estados civiles,45 - 64,305,157,148,09
Sacatepéquez,Todos los estados civiles,65 y más,706,340,366,09
Sacatepéquez,Todos los estados civiles,Ignorado,9,5,4,09
Sacatepéquez,Todos los estados civiles,Todas las edades,764,426,338,09
Sacatepéquez,Soltero(a),Menos de 15 años,185,103,82,09
Sacatepéquez,Soltero(a),15 - 24,90,64,26,09
Sacatepéquez,Soltero(a),25 - 44,103,78,25,09
Sacatepéquez,Soltero(a),45 - 64,100,54,46,09
Sacatepéquez,Soltero(a),65 y más,279,124,155,09
Sacatepéquez,Soltero(a),Ignorado,7,3,4,09
Sacatepéquez,Casado(a),Todas las edades,739,402,337,09
Sacatepéquez,Casado(a),Menos de 15 años,0,0,0,09
Sacatepéquez,Casado(a),15 - 24,8,6,2,09
Sacatepéquez,Casado(a),25 - 44,114,86,28,09
Sacatepéquez,Casado(a),45 - 64,200,101,99,09
Sacatepéquez,Casado(a),65 y más,417,209,208,09
Sacatepéquez,Casado(a),Ignorado,0,0,0,09
Sacatepéquez,Unido(a),Todas las edades,3,1,2,09
Sacatepéquez,Unido(a),Menos de 15 años,0,0,0,09
Sacatepéquez,Unido(a),15 - 24,0,0,0,09
Sacatepéquez,Unido(a),25 - 44,0,0,0,09
Sacatepéquez,Unido(a),45 - 64,0,0,0,09
Sacatepéquez,Unido(a),65 y más,3,1,2,09
Sacatepéquez,Unido(a),Ignorado,0,0,0,09
Sacatepéquez,Ignorado(a),Todas las edades,31,18,13,09
Sacatepéquez,Ignorado(a),Menos de 15 años,16,7,9,09
Sacatepéquez,Ignorado(a),15 - 24,0,0,0,09
