Grupos de edad,Total,Soltero(a),Casado(a),Unido(a),Ignorado,Madre o Padre,Anio
Todas las edades,351628,159322,189415,2131,760,Madre,09
Menos de 15,2434,807,1617,7,3,Madre,09
15 - 19,61066,16617,44084,243,122,Madre,09
20 - 24,99986,41138,58188,505,155,Madre,09
25 - 29,80814,42002,38192,470,150,Madre,09
30 - 34,53963,30893,22519,450,101,Madre,09
35 - 39,29748,17993,11422,270,63,Madre,09
40 - 44,10415,6557,3693,136,29,Madre,09
45 - 49,1318,816,471,24,7,Madre,09
50 y más,364,219,129,15,1,Madre,09
Ignorado,11520,2280,9100,11,129,Madre,09
Todas las edades,351628,162556,145765,2076,41231,Padre,09
Menos de 15,53,53,0,0,0,Padre,09
15 - 19,18583,5360,13095,94,34,Padre,09
20 - 24,74171,30544,43152,339,136,Padre,09
25 - 29,78708,41852,36321,434,101,Padre,09
30 - 34,58704,35548,22648,415,93,Padre,09
35 - 39,36743,23647,12683,342,71,Padre,09
40 - 44,20261,13267,6725,227,42,Padre,09
45 - 49,9722,6128,3453,123,18,Padre,09
50 y más,7002,4040,2855,91,16,Padre,09
Ignorado,47681,2117,4833,11,40720,Padre,09
Todas las edades,361906,203436,156644,1403,423,Madre,10
Menos de 15,2671,2388,275,4,4,Madre,10
15 - 19,69823,52471,17232,65,55,Madre,10
20 - 24,105938,64734,40877,225,102,Madre,10
25 - 29,84066,42012,41639,323,92,Madre,10
30 - 34,56899,24816,31640,377,66,Madre,10
35 - 39,30417,12381,17721,277,38,Madre,10
40 - 44,10212,3837,6262,99,14,Madre,10
45 - 49,1249,505,718,21,5,Madre,10
50 y más,348,147,191,10,0,Madre,10
Ignorado,283,145,89,2,47,Madre,10
Todas las edades,361906,158183,159626,1399,42698,Padre,10
Menos de 15,63,61,2,0,0,Padre,10
15 - 19,20950,15777,5139,24,10,Padre,10
20 - 24,78655,48508,29963,112,72,Padre,10
25 - 29,81539,39955,41271,240,73,Padre,10
30 - 34,63044,25764,36895,317,68,Padre,10
35 - 39,37974,13895,23755,283,41,Padre,10
40 - 44,20584,7311,13030,216,27,Padre,10
45 - 49,9525,3654,5750,114,7,Padre,10
50 y más,7002,3151,3750,92,9,Padre,10
Ignorado,42570,107,71,1,42391,Padre,10
Todas las edades,373692,210753,161350,1332,257,Madre,11
Menos de 15,2841,2500,335,1,5,Madre,11
15 - 19,75175,56183,18920,32,40,Madre,11
20 - 24,108949,66825,41948,130,46,Madre,11
25 - 29,85914,43035,42529,288,62,Madre,11
30 - 34,58050,25248,32393,381,28,Madre,11
35 - 39,30892,12332,18189,351,20,Madre,11
40 - 44,10220,3958,6141,117,4,Madre,11
45 - 49,1176,463,695,18,0,Madre,11
50 y más,290,120,158,12,0,Madre,11
Ignorado,185,89,42,2,52,Madre,11
Todas las edades,373692,165053,164927,1350,42362,Padre,11
Menos de 15,72,69,3,0,0,Padre,11
15 - 19,23353,17563,5783,3,4,Padre,11
20 - 24,82898,51205,31608,60,25,Padre,11
25 - 29,83786,41481,42109,165,31,Padre,11
30 - 34,64952,26446,38144,330,32,Padre,11
35 - 39,39412,14362,24684,342,24,Padre,11
40 - 44,20601,7175,13156,253,17,Padre,11
45 - 49,9366,3552,5695,114,5,Padre,11
50 y más,6941,3141,3712,83,5,Padre,11
Ignorado,42311,59,33,0,42219,Padre,11
Todas las edades,388613,221036,166015,1408,154,Madre,12
Menos de 15,3014,2613,397,1,3,Madre,12
15 - 19,81661,60424,21185,24,28,Madre,12
20 - 24,113484,70099,43232,125,28,Madre,12
25 - 29,87530,44334,42862,307,27,Madre,12
30 - 34,59982,26487,33022,451,22,Madre,12
35 - 39,31268,12625,18305,326,12,Madre,12
40 - 44,10225,3872,6201,150,2,Madre,12
45 - 49,1084,408,656,20,0,Madre,12
50 y más,243,117,124,2,0,Madre,12
Ignorado,122,57,31,2,32,Madre,12
Todas las edades,388613,170974,169418,1439,46782,Padre,12
Menos de 15,66,62,4,0,0,Padre,12
15 - 19,25514,18722,6787,3,2,Padre,12
20 - 24,87563,53879,33620,48,16,Padre,12
25 - 29,85286,42319,42749,189,29,Padre,12
30 - 34,65898,26923,38591,360,24,Padre,12
35 - 39,40262,14834,25071,349,8,Padre,12
40 - 44,21000,7384,13338,266,12,Padre,12
45 - 49,9261,3507,5614,134,6,Padre,12
50 y más,7028,3313,3622,90,3,Padre,12
Ignorado,46735,31,22,0,46682,Padre,12
Todas las edades,387342,221145,164910,1157,130,Madre,13
Menos de 15,1914,1802,109,0,3,Madre,13
15 - 19,72317,55729,16554,6,28,Madre,13
