Número de hijos(as),Total,Ninguno,Primaria,Básica,Diversificado,Universitario,Post Grado,Doctorado,Ignorado,Anio,Post grado
Todos los hijos,361906,136764,122070,26330,38002,4780,39,2,33919,10,
1,124533,31834,41517,14224,20112,2479,17,2,14348,10,
2,82509,24695,30512,6955,11155,1576,16,0,7600,10,
3,51750,19364,19470,3133,4676,542,6,0,4559,10,
4,31820,15285,11532,1115,1249,104,0,0,2535,10,
5,21397,12189,6921,370,342,19,0,0,1556,10,
6,15720,10024,4420,148,79,7,0,0,1042,10,
7,10923,7445,2688,70,33,2,0,0,685,10,
8,7648,5452,1692,22,13,1,0,0,468,10,
9,5043,3733,1023,17,1,0,0,0,269,10,
10,3301,2474,654,7,2,0,0,0,164,10,
11,1803,1344,362,4,0,0,0,0,93,10,
12,1077,825,199,3,0,0,0,0,50,10,
13,462,355,79,0,0,0,0,0,28,10,
14,181,136,37,0,0,0,0,0,8,10,
15,83,65,15,0,0,0,0,0,3,10,
16,28,18,8,0,0,0,0,0,2,10,
17,12,9,1,0,0,0,0,0,2,10,
18,4,3,1,0,0,0,0,0,0,10,
Ignorado,3612,1514,939,262,340,50,0,0,507,10,
Todos los hijos,373692,135831,132033,32639,44272,5723,32,7,23155,11,
1,128890,32430,42777,17108,23264,2928,10,2,10371,11,
2,88552,24559,34594,9213,13291,1860,11,3,5021,11,
3,54535,19408,22267,3887,5257,699,3,1,3013,11,
4,32165,15073,12595,1320,1409,125,3,0,1640,11,
5,21273,12145,7267,476,393,27,1,0,964,11,
6,15250,9700,4626,166,95,4,1,0,658,11,
7,10793,7468,2813,65,35,3,1,1,407,11,
8,7499,5323,1836,25,22,1,1,0,291,11,
9,4708,3528,985,19,4,0,0,0,172,11,
10,3179,2395,660,8,3,0,0,0,113,11,
11,1703,1300,334,2,0,0,0,0,67,11,
12,1028,798,197,1,0,0,0,0,32,11,
13,443,357,71,0,0,0,0,0,15,11,
14,137,113,22,0,0,0,0,0,2,11,
15,73,59,11,0,0,0,0,0,3,11,
16,26,19,7,0,0,0,0,0,0,11,
17,11,7,3,0,0,0,0,0,1,11,
Ignorado,3427,1149,968,349,499,76,1,0,385,11,
Todos los hijos,388613,128413,141144,38239,51759,7388,35,4,21631,12,
1,134777,29392,44022,19396,26787,3784,17,2,11377,12,
2,93168,22080,37643,11085,15649,2411,9,1,4290,12,
3,58093,18889,24815,4815,6373,818,2,1,2380,12,
4,33015,14804,13694,1569,1548,163,2,0,1235,12,
5,21471,11927,7837,560,414,34,0,0,699,12,
6,15021,9399,4853,182,112,5,2,0,468,12,
7,10570,7252,2863,68,38,3,2,0,344,12,
8,7470,5377,1832,29,20,2,0,0,210,12,
9,4518,3391,993,11,5,0,0,0,118,12,
10,2929,2265,585,8,1,1,0,0,69,12,
11,1572,1197,329,5,1,1,0,0,39,12,
12,986,752,201,1,0,0,0,0,32,12,
13,409,298,98,1,0,0,0,0,12,12,
14,146,123,20,0,0,0,0,0,3,12,
15,56,44,9,0,1,0,0,0,2,12,
16,15,13,2,0,0,0,0,0,0,12,
17,9,7,2,0,0,0,0,0,0,12,
Ignorado,4388,1203,1346,509,810,166,1,0,353,12,
Todos los hijos,387342,120573,144941,43142,57000,7780,68,,13838,13,
1,137574,29749,44230,21455,29260,3803,35,,9042,13,
2,94340,20467,38764,12745,17410,2737,23,,2194,13,
3,58315,17351,26543,5513,6994,953,8,,953,13,
4,32273,13679,14407,1767,1753,162,0,,505,13,
5,20421,10945,8113,627,427,35,1,,273,13,
6,14126,8780,4779,212,136,6,0,,213,13,
7,9712,6597,2847,78,47,0,0,,143,13,
8,6645,4824,1695,33,13,0,0,,80,13,
9,4051,2993,980,9,5,0,0,,64,13,
10,2610,2004,567,7,5,0,0,,27,13,
11,1399,1065,309,5,1,0,0,,19,13,
12,780,610,159,3,0,0,0,,8,13,
13,341,253,82,0,1,0,0,,5,13,
14,131,109,22,0,0,0,0,,0,13,
15,54,43,11,0,0,0,0,,0,13,
16,23,17,6,0,0,0,0,,0,13,
17,6,3,3,0,0,0,0,,0,13,
Ignorado,4541,1084,1424,688,948,84,1,,312,13,
Todos los hijos,386195,117064,144629,46321,59815,7779,56,3,10528,14,
1,135437,29996,42785,22265,30058,3683,33,1,6616,14,
2,95961,19319,39090,14163,18763,2783,14,2,1827,14,
3,60110,16689,27453,6356,7766,988,9,0,849,14,
4,33113,13325,15015,2106,1995,216,0,0,456,14,
5,19928,10464,8068,632,496,33,0,0,235,14,
6,13821,8541,4742,246,141,9,0,0,142,14,
7,9414,6392,2789,88,45,1,0,0,99,14,
8,6373,4602,1652,33,6,0,0,0,80,14,
9,3905,2926,927,6,7,0,0,0,39,14,
10,2474,1914,530,4,3,0,0,0,23,14,
11,1260,1000,243,3,0,0,0,0,14,14,
12,755,593,150,3,0,0,0,0,9,14,
13,322,263,55,0,0,0,0,0,4,14,
14,101,80,20,0,0,0,0,0,1,14,
15,29,20,9,0,0,0,0,0,0,14,
16,19,17,2,0,0,0,0,0,0,14,
17,3,2,1,0,0,0,0,0,0,14,
Ignorado,3170,921,1098,416,535,66,0,0,134,14,
Todos los hijos,391425,109872,147891,49767,63412,7691,68,4,12720,15,
1,136332,25585,43549,23382,31430,3603,35,2,8746,15,
2,100118,18631,40773,15772,20169,2839,26,2,1906,15,
3,62128,16837,28181,6759,8453,979,5,0,914,15,
4,33343,13244,15280,2161,2069,187,1,0,401,15,
5,20339,10373,8475,689,534,30,0,0,238,15,
6,13229,8123,4598,236,120,6,0,0,146,15,
7,8878,6064,2591,79,48,0,0,0,96,15,
8,6082,4369,1603,34,12,0,0,0,64,15,
9,3647,2727,864,15,7,0,0,0,34,15,
10,2264,1719,519,4,0,0,0,0,22,15,
11,1158,887,261,2,0,0,0,0,8,15,
12,685,535,141,1,0,0,0,0,8,15,
13,244,181,63,0,0,0,0,0,0,15,
14,113,86,25,0,0,0,0,0,2,15,
15,35,23,12,0,0,0,0,0,0,15,
16,13,12,1,0,0,0,0,0,0,15,
17,1,1,0,0,0,0,0,0,0,15,
Ignorado,2816,475,955,633,570,47,1,0,135,15,
Todos los hijos,390382,103876,149223,53114,63047,7680,50,3,13389,16,
1,129281,21966,40610,23312,30097,3636,19,2,9639,16,
2,102040,17555,41282,17678,20878,2828,26,1,1792,16,
3,64825,16222,30078,8029,8707,948,5,0,836,16,
4,34843,13034,16421,2553,2237,193,0,0,405,16,
5,20693,10300,8808,768,537,34,0,0,246,16,
6,13458,8011,4902,268,130,10,0,0,137,16,
7,8883,5870,2788,100,39,0,0,0,86,16,
8,5977,4267,1612,28,16,0,0,0,54,16,
9,3538,2675,808,16,6,0,0,0,33,16,
10,2120,1637,466,4,0,0,0,0,13,16,
11,1146,873,256,6,0,0,0,0,11,16,
12,588,454,129,1,0,0,0,0,4,16,
13,212,155,54,1,0,0,0,0,2,16,
14,94,78,14,1,0,0,0,0,1,16,
15,32,23,9,0,0,0,0,0,0,16,
16,9,6,3,0,0,0,0,0,0,16,
17,3,3,0,0,0,0,0,0,0,16,
Ignorado,2640,747,983,349,400,31,0,0,130,16,
Todos los hijos,381664,94736,146541,55798,65094,7735,,,11691,17,69
1,131641,21405,42795,24531,30901,3700,,,8265,17,44
2,98996,16078,39848,17946,20878,2654,,,1579,17,13
3,62309,14567,28476,8396,9078,1003,,,781,17,8
4,32366,11490,15322,2632,2354,192,,,372,17,4
5,18825,8937,8236,793,605,59,,,195,17,0
6,11832,6933,4324,253,193,11,,,118,17,0
7,7700,5019,2445,104,47,0,,,85,17,0
8,5158,3644,1419,33,15,0,,,47,17,0
9,3139,2304,781,14,8,0,,,32,17,0
10,1880,1452,404,5,3,0,,,16,17,0
11,988,777,201,6,0,0,,,4,17,0
12,562,449,109,1,0,0,,,3,17,0
13,217,174,38,1,0,0,,,4,17,0
14,91,73,18,0,0,0,,,0,17,0
15,26,19,6,0,0,0,,,1,17,0
16,14,10,4,0,0,0,,,0,17,0
17,5,4,1,0,0,0,,,0,17,0
18,1,1,0,0,0,0,,,0,17,0
Ignorado,5914,1400,2114,1083,1012,116,,,189,17,0
Todos los hijos,383263,88972,149036,58632,67674,5667,,,13234,18,48
1,135988,20554,44818,25687,32536,2635,,,9728,18,30
2,98780,14499,40421,18854,21526,1925,,,1546,18,9
3,62021,13793,28461,8871,9280,816,,,796,18,4
4,32311,11043,15539,2780,2394,156,,,397,18,2
5,18614,8665,8183,918,584,42,,,221,18,1
6,11439,6456,4428,274,151,5,,,125,18,0
7,7290,4756,2332,94,37,3,,,67,18,1
8,4569,3149,1332,26,15,0,,,47,18,0
