Departamento de ocurrencia,Pueblo de pertenencia de la madre,Total,Menos de 15,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 y más,Ignorado,Anio,Departamento de residencia
Todos los departamentos,Todos los grupos étnicos,351628,2434,61066,99986,80814,53963,29748,10415,1318,364,11520,09,
Todos los departamentos,Indígena,150458,923,25204,41167,33596,24605,15014,5659,690,194,3406,09,
Todos los departamentos,No indígena,138680,1101,25385,41637,32996,20333,9937,3176,418,125,3572,09,
Todos los departamentos,Ignorado,62490,410,10477,17182,14222,9025,4797,1580,210,45,4542,09,
Todos los departamentos,Todos los grupos étnicos,188763,1338,33616,56271,45123,28122,13843,4356,478,74,5542,09,
Todos los departamentos,Indígena,48180,315,8437,13749,10996,7383,4360,1627,162,24,1127,09,
Todos los departamentos,No indígena,98610,725,17847,30225,24139,14620,6540,1872,209,38,2395,09,
Todos los departamentos,Ignorado,41973,298,7332,12297,9988,6119,2943,857,107,12,2020,09,
Todos los departamentos,Todos los grupos étnicos,156068,1057,26165,41727,34257,24876,15377,5862,804,276,5667,09,
Todos los departamentos,Indígena,99475,596,16278,26636,22004,16795,10381,3928,507,166,2184,09,
Todos los departamentos,No indígena,36957,352,6881,10420,8194,5292,3203,1235,196,79,1105,09,
Todos los departamentos,Ignorado,19636,109,3006,4671,4059,2789,1793,699,101,31,2378,09,
Todos los departamentos,Todos los grupos étnicos,6797,39,1285,1988,1434,965,528,197,36,14,311,09,
Todos los departamentos,Indígena,2803,12,489,782,596,427,273,104,21,4,95,09,
Todos los departamentos,No indígena,3113,24,657,992,663,421,194,69,13,8,72,09,
Todos los departamentos,Ignorado,881,3,139,214,175,117,61,24,2,2,144,09,
Guatemala,Todos los grupos étnicos,58906,221,8713,17627,15615,10212,4465,1222,121,13,697,09,
Guatemala,Indígena,6130,15,825,1709,1577,1126,572,220,23,2,61,09,
Guatemala,No indígena,35940,129,5337,10888,9690,6240,2591,652,70,7,336,09,
Guatemala,Ignorado,16836,77,2551,5030,4348,2846,1302,350,28,4,300,09,
Guatemala,Todos los grupos étnicos,53615,207,7920,16055,14353,9358,3956,1045,99,11,611,09,
Guatemala,Indígena,4102,11,534,1136,1098,763,357,153,12,2,36,09,
Guatemala,No indígena,33909,123,4990,10249,9199,5953,2428,587,61,6,313,09,
Guatemala,Ignorado,15604,73,2396,4670,4056,2642,1171,305,26,3,262,09,
Guatemala,Todos los grupos étnicos,4425,11,636,1268,1055,742,452,158,21,2,80,09,
Guatemala,Indígena,1968,4,281,553,464,354,211,66,11,0,24,09,
Guatemala,No indígena,1282,3,209,373,312,192,114,49,8,1,21,09,
Guatemala,Ignorado,1175,4,146,342,279,196,127,43,2,1,35,09,
Guatemala,Todos los grupos étnicos,866,3,157,304,207,112,57,19,1,0,6,09,
Guatemala,Indígena,60,0,10,20,15,9,4,1,0,0,1,09,
Guatemala,No indígena,749,3,138,266,179,95,49,16,1,0,2,09,
Guatemala,Ignorado,57,0,9,18,13,8,4,2,0,0,3,09,
El Progreso,Todos los grupos étnicos,3814,27,689,1195,874,530,270,89,12,4,124,09,
El Progreso,Indígena,22,0,2,5,8,5,1,0,1,0,0,09,
El Progreso,No indígena,3337,22,601,1072,772,463,234,83,11,3,76,09,
El Progreso,Ignorado,455,5,86,118,94,62,35,6,0,1,48,09,
El Progreso,Todos los grupos étnicos,2656,22,492,853,626,375,156,49,7,0,76,09,
El Progreso,Indígena,18,0,1,5,7,4,0,0,1,0,0,09,
El Progreso,No indígena,2251,17,416,743,537,322,126,45,6,0,39,09,
El Progreso,Ignorado,387,5,75,105,82,49,30,4,0,0,37,09,
El Progreso,Todos los grupos étnicos,1076,5,188,313,236,139,109,38,4,3,41,09,
El Progreso,Indígena,4,0,1,0,1,1,1,0,0,0,0,09,
El Progreso,No indígena,1007,5,176,301,223,125,103,36,4,2,32,09,
El Progreso,Ignorado,65,0,11,12,12,13,5,2,0,1,9,09,
El Progreso,Todos los grupos étnicos,82,0,9,29,12,16,5,2,1,1,7,09,
El Progreso,Indígena,0,0,0,0,0,0,0,0,0,0,0,09,
El Progreso,No indígena,79,0,9,28,12,16,5,2,1,1,5,09,
El Progreso,Ignorado,3,0,0,1,0,0,0,0,0,0,2,09,
Sacatepéquez,Todos los grupos étnicos,6708,26,1015,2107,1709,1025,441,177,17,1,190,09,
Sacatepéquez,Indígena,2397,7,343,756,617,328,169,80,6,1,90,09,
Sacatepéquez,No indígena,2603,14,409,878,673,403,135,49,4,0,38,09,
Sacatepéquez,Ignorado,1708,5,263,473,419,294,137,48,7,0,62,09,
Sacatepéquez,Todos los grupos étnicos,5847,26,934,1861,1495,869,351,131,13,1,166,09,
Sacatepéquez,Indígena,1902,7,293,610,486,252,122,53,4,1,74,09,
Sacatepéquez,No indígena,2478,14,397,834,649,375,126,44,4,0,35,09,
Sacatepéquez,Ignorado,1467,5,244,417,360,242,103,34,5,0,57,09,
Sacatepéquez,Todos los grupos étnicos,741,0,71,215,180,136,76,40,3,0,20,09,
Sacatepéquez,Indígena,429,0,44,127,110,70,41,22,2,0,13,09,
Sacatepéquez,No indígena,90,0,9,34,18,19,4,4,0,0,2,09,
Sacatepéquez,Ignorado,222,0,18,54,52,47,31,14,1,0,5,09,
Sacatepéquez,Todos los grupos étnicos,120,0,10,31,34,20,14,6,1,0,4,09,
Sacatepéquez,Indígena,66,0,6,19,21,6,6,5,0,0,3,09,
Sacatepéquez,No indígena,35,0,3,10,6,9,5,1,0,0,1,09,
Sacatepéquez,Ignorado,19,0,1,2,7,5,3,0,1,0,0,09,
Chimaltenango,Todos los grupos étnicos,14482,34,2009,3995,3536,2555,1458,554,55,5,281,09,
Chimaltenango,Indígena,10762,23,1409,2904,2587,1977,1186,472,42,4,158,09,
Chimaltenango,No indígena,2256,7,328,723,609,355,141,36,8,0,49,09,
Chimaltenango,Ignorado,1464,4,272,368,340,223,131,46,5,1,74,09,
Chimaltenango,Todos los grupos étnicos,6634,14,906,1968,1693,1135,560,208,26,1,123,09,
Chimaltenango,Indígena,4418,8,558,1250,1127,799,426,169,19,1,61,09,
Chimaltenango,No indígena,1858,5,271,617,496,296,111,26,5,0,31,09,
Chimaltenango,Ignorado,358,1,77,101,70,40,23,13,2,0,31,09,
Chimaltenango,Todos los grupos étnicos,7713,20,1084,1995,1808,1394,886,343,28,3,152,09,
Chimaltenango,Indígena,6251,15,838,1636,1433,1161,750,300,22,2,94,09,
Chimaltenango,No indígena,368,2,53,95,108,53,28,10,3,0,16,09,
Chimaltenango,Ignorado,1094,3,193,264,267,180,108,33,3,1,42,09,
Chimaltenango,Todos los grupos étnicos,135,0,19,32,35,26,12,3,1,1,6,09,
Chimaltenango,Indígena,93,0,13,18,27,17,10,3,1,1,3,09,
Chimaltenango,No indígena,30,0,4,11,5,6,2,0,0,0,2,09,
Chimaltenango,Ignorado,12,0,2,3,3,3,0,0,0,0,1,09,
Escuintla,Todos los grupos étnicos,14552,144,3116,4647,3251,1730,822,258,37,5,542,09,
Escuintla,Indígena,481,2,78,131,104,93,42,18,2,1,10,09,
Escuintla,No indígena,11797,112,2605,3815,2652,1408,659,203,31,3,309,09,
Escuintla,Ignorado,2274,30,433,701,495,229,121,37,4,1,223,09,
Escuintla,Todos los grupos étnicos,11539,109,2476,3738,2567,1348,627,179,24,2,469,09,
Escuintla,Indígena,354,0,63,95,84,69,27,9,0,0,7,09,
Escuintla,No indígena,9155,83,2029,3011,2045,1069,500,136,20,1,261,09,
Escuintla,Ignorado,2030,26,384,632,438,210,100,34,4,1,201,09,
Escuintla,Todos los grupos étnicos,2176,25,406,637,527,278,153,69,12,2,67,09,
Escuintla,Indígena,125,2,15,36,20,22,15,9,2,1,3,09,
Escuintla,No indígena,1820,20,347,535,450,238,117,57,10,1,45,09,
Escuintla,Ignorado,231,3,44,66,57,18,21,3,0,0,19,09,
Escuintla,Todos los grupos étnicos,837,10,234,272,157,104,42,10,1,1,6,09,
Escuintla,Indígena,2,0,0,0,0,2,0,0,0,0,0,09,
Escuintla,No indígena,822,9,229,269,157,101,42,10,1,1,3,09,
Escuintla,Ignorado,13,1,5,3,0,1,0,0,0,0,3,09,
Santa Rosa,Todos los grupos étnicos,8181,63,1692,2371,1805,1028,618,255,32,7,310,09,
