Grupos quinquenales de edad,Total,TotalH,TotalM,Urban,UrbanH,UrbanM,Rural,RuralH,RuralM,Ignorado,IgnoradoH,IgnoradoM,Victima o Agresor,Anio
Total,31497,2985,28512,16539,1674,14865,11816,1047,10769,3142,264,2878,V,09,
 0  a  4,29,18,11,12,7,5,13,7,6,4,4,0,V,09,
 5  a  9,43,19,24,26,12,14,13,5,8,4,2,2,V,09,
10 a 14,221,27,194,109,8,101,99,17,82,13,2,11,V,09,
15 a 19,2748,119,2629,1318,56,1262,1203,57,1146,227,6,221,V,09,
20 a 24,5955,368,5587,3163,213,2950,2228,131,2097,564,24,540,V,09,
25 a 29,6190,478,5712,3380,296,3084,2186,141,2045,624,41,583,V,09,
30 a 34,5154,438,4716,2773,270,2503,1863,131,1732,518,37,481,V,09,
35 a 39,3816,335,3481,2022,200,1822,1413,110,1303,381,25,356,V,09,
40 a 44,2472,258,2214,1335,158,1177,881,78,803,256,22,234,V,09,
45 a 49,1682,203,1479,818,109,709,684,73,611,180,21,159,V,09,
50 a 54,1039,172,867,533,92,441,404,63,341,102,17,85,V,09,
55 a 59,621,135,486,309,65,244,251,57,194,61,13,48,V,09,
60 a 64,421,99,322,211,51,160,177,43,134,33,5,28,V,09,
65 y más,757,284,473,373,127,246,303,124,179,81,33,48,V,09,
Ignorado,349,32,317,157,10,147,98,10,88,94,12,82,V,09,
Total,31497,27996,3501,16539,14513,2026,11816,10644,1172,3142,2839,303,A,09,
10 a 14,43,10,33,25,5,20,15,3,12,3,2,1,A,09,
15 a 19,992,767,225,491,366,125,419,331,88,82,70,12,A,09,
20 a 24,4385,3805,580,2287,1952,335,1708,1503,205,390,350,40,A,09,
25 a 29,6017,5380,637,3284,2896,388,2148,1956,192,585,528,57,A,09,
30 a 34,5358,4841,517,2959,2639,320,1868,1720,148,531,482,49,A,09,
35 a 39,4435,4055,380,2324,2106,218,1674,1543,131,437,406,31,A,09,
40 a 44,3069,2767,302,1615,1431,184,1159,1068,91,295,268,27,A,09,
45 a 49,2154,1916,238,1112,981,131,841,754,87,201,181,20,A,09,
50 a 54,1315,1144,171,668,569,99,521,465,56,126,110,16,A,09,
55 a 59,737,649,88,359,314,45,316,277,39,62,58,4,A,09,
60 a 64,452,383,69,219,186,33,194,165,29,39,32,7,A,09,
65 y más,375,316,59,191,161,30,151,125,26,33,30,3,A,09,
Ignorado,2165,1963,202,1005,907,98,802,734,68,358,322,36,A,09,
Total,32017,2858,29159,16427,1502,14925,12553,1112,11441,3037,244,2793,V,10,
 0  a  4,36,19,17,18,12,6,17,7,10,1,0,1,V,10,
 5  a  9,54,27,27,23,10,13,26,15,11,5,2,3,V,10,
10 a 14,224,40,184,96,22,74,107,16,91,21,2,19,V,10,
15 a 19,2979,145,2834,1367,78,1289,1356,58,1298,256,9,247,V,10,
20 a 24,5974,335,5639,3074,170,2904,2367,134,2233,533,31,502,V,10,
25 a 29,6187,393,5794,3246,227,3019,2345,134,2211,596,32,564,V,10,
30 a 34,5441,400,5041,2887,214,2673,2066,151,1915,488,35,453,V,10,
35 a 39,3826,348,3478,1991,192,1799,1460,119,1341,375,37,338,V,10,
40 a 44,2508,222,2286,1288,115,1173,969,92,877,251,15,236,V,10,
45 a 49,1663,217,1446,879,111,768,624,88,536,160,18,142,V,10,
50 a 54,1002,179,823,503,88,415,400,70,330,99,21,78,V,10,
55 a 59,612,114,498,314,62,252,235,47,188,63,5,58,V,10,
60 a 64,423,121,302,210,51,159,176,63,113,37,7,30,V,10,
65 y más,756,266,490,390,135,255,294,108,186,72,23,49,V,10,
Ignorado,332,32,300,141,15,126,111,10,101,80,7,73,V,10,
Total,32017,28666,3351,16427,14612,1815,12553,11309,1244,3037,2745,292,A,10,
10 a 14,27,13,14,13,6,7,13,7,6,1,0,1,A,10,
15 a 19,1027,812,215,497,384,113,440,354,86,90,74,16,A,10,
20 a 24,4466,3951,515,2248,1962,286,1825,1639,186,393,350,43,A,10,
25 a 29,5868,5323,545,3050,2749,301,2309,2108,201,509,466,43,A,10,
30 a 34,5614,5096,518,3011,2730,281,2094,1905,189,509,461,48,A,10,
35 a 39,4492,4061,431,2326,2096,230,1750,1588,162,416,377,39,A,10,
40 a 44,3139,2854,285,1632,1460,172,1227,1137,90,280,257,23,A,10,
45 a 49,2137,1898,239,1094,954,140,845,762,83,198,182,16,A,10,
50 a 54,1355,1180,175,671,595,76,565,478,87,119,107,12,A,10,
55 a 59,774,680,94,412,358,54,295,263,32,67,59,8,A,10,
60 a 64,418,353,65,201,175,26,181,149,32,36,29,7,A,10,
65 y más,431,384,47,211,189,22,178,156,22,42,39,3,A,10,
Ignorado,2269,2061,208,1061,954,107,831,763,68,377,344,33,A,10,
Total,33484,2906,30578,17672,1531,16141,13588,1209,12379,2224,166,2058,V,11,
 0  a  4,38,15,23,23,12,11,14,3,11,1,0,1,V,11,
 5  a  9,48,17,31,25,12,13,20,4,16,3,1,2,V,11,
10 a 14,223,40,183,103,13,90,103,22,81,17,5,12,V,11,
15 a 19,3070,135,2935,1511,80,1431,1385,50,1335,174,5,169,V,11,
20 a 24,6213,315,5898,3290,166,3124,2548,137,2411,375,12,363,V,11,
25 a 29,6261,400,5861,3409,213,3196,2418,163,2255,434,24,410,V,11,
30 a 34,5599,397,5202,3049,219,2830,2185,156,2029,365,22,343,V,11,
35 a 39,4121,331,3790,2203,189,2014,1635,126,1509,283,16,267,V,11,
40 a 44,2600,261,2339,1409,144,1265,1032,101,931,159,16,143,V,11,
45 a 49,1768,223,1545,896,120,776,754,91,663,118,12,106,V,11,
50 a 54,1117,184,933,578,86,492,469,82,387,70,16,54,V,11,
55 a 59,674,135,539,349,74,275,279,53,226,46,8,38,V,11,
60 a 64,472,116,356,244,55,189,201,56,145,27,5,22,V,11,
65 y más,842,296,546,389,128,261,400,152,248,53,16,37,V,11,
Ignorado,438,41,397,194,20,174,145,13,132,99,8,91,V,11,
Total,33484,29940,3544,17672,15720,1952,13588,12205,1383,2224,2015,209,A,11,
10 a 14,39,17,22,27,9,18,11,7,4,1,1,0,A,11,
15 a 19,1186,959,227,605,472,133,518,432,86,63,55,8,A,11,
20 a 24,4808,4272,536,2478,2203,275,2059,1829,230,271,240,31,A,11,
25 a 29,5897,5375,522,3250,2942,308,2274,2090,184,373,343,30,A,11,
30 a 34,5978,5418,560,3289,2987,302,2311,2080,231,378,351,27,A,11,
35 a 39,4709,4278,431,2456,2212,244,1953,1789,164,300,277,23,A,11,
40 a 44,3229,2887,342,1771,1581,190,1278,1146,132,180,160,20,A,11,
45 a 49,2286,2020,266,1158,1014,144,973,866,107,155,140,15,A,11,
50 a 54,1448,1258,190,749,654,95,596,516,80,103,88,15,A,11,
55 a 59,809,710,99,414,356,58,344,308,36,51,46,5,A,11,
60 a 64,440,384,56,224,193,31,186,164,22,30,27,3,A,11,
65 y más,486,424,62,231,200,31,214,186,28,41,38,3,A,11,
Ignorado,2169,1938,231,1020,897,123,871,792,79,278,249,29,A,11,
Total,36107,2967,33140,19237,1609,17628,15074,1214,13860,1796,144,1652,V,12,
 0  a  4,21,13,8,13,5,8,8,8,0,0,0,0,V,12,
 5  a  9,78,35,43,41,18,23,35,16,19,2,1,1,V,12,
10 a 14,242,30,212,101,14,87,136,16,120,5,0,5,V,12,
15 a 19,3373,134,3239,1626,69,1557,1604,60,1544,143,5,138,V,12,
20 a 24,6825,323,6502,3592,158,3434,2910,156,2754,323,9,314,V,12,
25 a 29,6823,388,6435,3748,216,3532,2742,149,2593,333,23,310,V,12,
30 a 34,6081,396,5685,3379,241,3138,2401,134,2267,301,21,280,V,12,
35 a 39,4402,383,4019,2369,220,2149,1789,140,1649,244,23,221,V,12,
40 a 44,2795,289,2506,1565,163,1402,1101,110,991,129,16,113,V,12,
45 a 49,1774,223,1551,922,119,803,748,92,656,104,12,92,V,12,
50 a 54,1172,179,993,620,97,523,512,75,437,40,7,33,V,12,
55 a 59,702,137,565,346,59,287,320,71,249,36,7,29,V,12,
60 a 64,482,112,370,257,56,201,198,50,148,27,6,21,V,12,
65 a 69,330,105,225,155,57,98,160,41,119,15,7,8,V,12,
70 a 74,241,76,165,119,35,84,115,40,75,7,1,6,V,12,
75 y más,306,119,187,165,69,96,130,47,83,11,3,8,V,12,
Ignorado,460,25,435,219,13,206,165,9,156,76,3,73,V,12,
