Departamento de residencia,Causa de muerte,Total,Hombres,Mujeres,Anio,Código CIE-10
Todos los departamentos,Todas las causas,71707,41354,30353,09,
Todos los departamentos,"Neumonía, organismo no especificado",7013,3770,3243,09,
Todos los departamentos,"Agresión con disparo de otras armas de fuego, y las no especificadas",5000,4512,488,09,
Todos los departamentos,Exposición a factores no especificados,3693,3077,616,09,
Todos los departamentos,Infarto agudo del miocardio,3410,1843,1567,09,
Todos los departamentos,"Diabetes mellitus, no especificada",2997,1275,1722,09,
Todos los departamentos,Diarrea y gastroenteritis de presunto origen infeccioso,2502,1340,1162,09,
Todos los departamentos,"Desnutrición proteicocalórica, no especificada",2031,931,1100,09,
Todos los departamentos,Fibrosis y cirrosis del hígado,1738,1162,576,09,
Todos los departamentos,Insuficiencia cardíaca,1720,846,874,09,
Todos los departamentos,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",1517,709,808,09,
Todos los departamentos,Tumor maligno del estómago,1404,644,760,09,
Todos los departamentos,Trastornos mentales y del comportamiento debidos al uso de alcohol,1178,1079,99,09,
Todos los departamentos,Tumor maligno del hígado y de las vías biliares intrahepáticas,1130,559,571,09,
Todos los departamentos,Diabetes mellitus no insulinodependiente,989,418,571,09,
Todos los departamentos,Otras septicemias,934,500,434,09,
Todos los departamentos,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",5104,2536,2568,09,
Todos los departamentos,Otras causas,29347,16153,13194,09,
Guatemala,Todas las causas,16887,9705,7182,09,
Guatemala,"Agresión con disparo de otras armas de fuego, y las no especificadas",1936,1728,208,09,
Guatemala,"Diabetes mellitus, no especificada",934,414,520,09,
Guatemala,Infarto agudo del miocardio,870,446,424,09,
Guatemala,Exposición a factores no especificados,844,703,141,09,
Guatemala,"Neumonía, organismo no especificado",756,392,364,09,
Guatemala,Fibrosis y cirrosis del hígado,484,312,172,09,
Guatemala,"Desnutrición proteicocalórica, no especificada",448,191,257,09,
Guatemala,Diabetes mellitus no insulinodependiente,420,187,233,09,
Guatemala,Insuficiencia cardíaca,327,155,172,09,
Guatemala,Tumor maligno del estómago,326,147,179,09,
Guatemala,Tumor maligno del hígado y de las vías biliares intrahepáticas,311,152,159,09,
Guatemala,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",283,153,130,09,
Guatemala,Insuficiencia renal crónica,278,133,145,09,
Guatemala,Otras enfermedades cerebrovasculares,227,101,126,09,
Guatemala,Diarrea y gastroenteritis de presunto origen infeccioso,223,128,95,09,
Guatemala,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",810,384,426,09,
Guatemala,Otras causas,7410,3979,3431,09,
El Progreso,Todas las causas,1028,590,438,09,
El Progreso,Infarto agudo del miocardio,113,64,49,09,
El Progreso,"Agresión con disparo de otras armas de fuego, y las no especificadas",84,77,7,09,
El Progreso,"Neumonía, organismo no especificado",59,35,24,09,
El Progreso,"Diabetes mellitus, no especificada",55,24,31,09,
El Progreso,Exposición a factores no especificados,42,35,7,09,
El Progreso,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",38,20,18,09,
El Progreso,"Desnutrición proteicocalórica, no especificada",27,18,9,09,
El Progreso,Hipertensión esencial (primaria),23,7,16,09,
El Progreso,Tumor maligno del hígado y de las vías biliares intrahepáticas,20,9,11,09,
El Progreso,Diabetes mellitus no insulinodependiente,20,6,14,09,
El Progreso,Otras enfermedades cerebrovasculares,20,6,14,09,
El Progreso,Tumor maligno del estómago,19,12,7,09,
El Progreso,Secuelas de otros efectos y los no especificados de causas externas,18,15,3,09,
El Progreso,Fibrosis y cirrosis del hígado,17,10,7,09,
El Progreso,Otras enfermedades pulmonares obstructivas crónicas,16,9,7,09,
El Progreso,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",29,14,15,09,
El Progreso,Otras causas,428,229,199,09,
Sacatepequez,Todas las causas,1537,847,690,09,
Sacatepequez,"Neumonía, organismo no especificado",128,72,56,09,
Sacatepequez,Exposición a factores no especificados,100,84,16,09,
Sacatepequez,"Desnutrición proteicocalórica, no especificada",72,30,42,09,
Sacatepequez,"Diabetes mellitus, no especificada",65,26,39,09,
Sacatepequez,"Agresión con disparo de otras armas de fuego, y las no especificadas",53,44,9,09,
Sacatepequez,Diabetes mellitus no insulinodependiente,48,20,28,09,
Sacatepequez,Fibrosis y cirrosis del hígado,46,30,16,09,
Sacatepequez,Trastornos mentales y del comportamiento debidos al uso de alcohol,44,43,1,09,
Sacatepequez,Infarto agudo del miocardio,44,28,16,09,
Sacatepequez,Tumor maligno del estómago,34,11,23,09,
Sacatepequez,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",34,11,23,09,
